protein_id,Checked,Master,Description,Coverage,Peptides,PSMs,AAs,Modifications,Abundance_Ratio_Pani_Winter_Summer,Abundance_Ratio_Sorg_Winter_Summer,pval_Pani_Winter_Summer,pval_Sorg_Winter_Summer,adj_pval_Pani_Winter_Summer,adj_pval_Sorg_Winter_Summer,Abundance_Grouped_Pani_Summer,Abundance_Grouped_Pani_Winter,Abundance_Grouped_Sorg_Summer,Abundance_Grouped_Sorg_Winter,Abundance_Grouped_CV_Pani_Summer,Abundance_Grouped_CV_Pani_Winter,Abundance_Grouped_CV_Sorg_Summer,Abundance_Grouped_CV_Sorg_Winter,Protein_FDR_Confidence_Combined,Exp_q_value_Combined,Sum_PEP_Score,Unique_Peptides,MW_kDa,calc_pI,Score_Sequest_HT_Sequest_HT,Peptides_by_Search_Engine_Sequest_HT,Razor_Peptides,Abundance_PV-RB-1_Summer,Abundance_PV-RB-2_Summer,Abundance_PV-RB-3_Summer,Abundance_PV-RB-1_Winter,Abundance_PV-RB-2_Winter,Abundance_PV-RB-3_Winter,Abundance_Sn-1_Summer,Abundance_Sn-2_Summer,Abundance_Sn-1_Winter,Abundance_Sn-2_Winter,Abundances_Normalized_PV-RB-1_Summer,Abundances_Normalized_PV-RB-2_Summer,Abundances_Normalized_PV-RB-3_Summer,Abundances_Normalized_PV-RB-1_Winter,Abundances_Normalized_PV-RB-2_Winter,Abundances_Normalized_PV-RB-3_Winter,Abundances_Normalized_Sn-1_Summer,Abundances_Normalized_Sn-2_Summer,Abundances_Normalized_Sn-1_Winter,Abundances_Normalized_Sn-2_Winter,Found_in_Sample_S49_PV-RB-1_Summer,Found_in_Sample_S52_PV-RB-2_Summer,Found_in_Sample_S55_PV-RB-3_Summer,Found_in_Sample_S48_PV-RB-1_Winter,Found_in_Sample_S51_PV-RB-2_Winter,Found_in_Sample_S54_PV-RB-3_Winter,Found_in_Sample_S58_Sn-1_Summer,Found_in_Sample_S61_Sn-2_Summer,Found_in_Sample_S57_Sn-1_Winter,Found_in_Sample_S60_Sn-2_Winter,Protein_Groups
Sn00001aa038091_T001,TRUE,Master Protein,Sn00001aa038091_T001,6,2,2,490,NA,1.162,1.192,0.999552944909199,NA,1,NA,155,180.1,52,62,23.74,25.62,NA,NA,High,0,5.649,2,52.3,9.25,7.84,2,0,18.5,18.3,19.9,18.6,26.8,2.7,12,0,5.5,0,39.6,53.3,33.8,55.9,46,32.9,13.3,0,15.8,0,High,High,High,High,High,High,High,High,High,High,1
Sn00001aa007834_T001,TRUE,Master Protein,Sn00001aa007834_T001,19,14,35,1176,NA,2.372,0.983,0.287285825926126,NA,1,NA,4.2,9.8,4.6,4.5,24.8,23.35,85.6,NA,High,0,79.611,1,127.5,5.83,120.04,14,0,11.1,12.5,14.6,25.2,34.2,3.9,12.2,4.3,9.3,0,23.8,36.4,24.8,75.7,58.7,47.5,13.5,54.9,26.8,0,High,High,High,High,High,High,High,High,High,High,1
Sn00001aa025240_T001,TRUE,Master Protein,Sn00001aa025240_T001,8,2,2,532,NA,0.795,1.475,0.969776684861214,0.782621834626646,1,1,214,170.1,32.6,48.1,20.77,21.93,50.37,0.44,High,0,7.691,2,58.6,7.3,8.47,2,0,62.1,53.7,60.3,44.6,61.5,7.1,12.6,2.3,10.4,2.7,132.9,156.3,102.3,133.9,105.6,86.5,13.9,29.4,29.9,29.8,High,High,High,High,High,High,High,High,High,High,1
Sn00001aa060026_T001,TRUE,Master Protein,Sn00001aa060026_T001,50,14,158,377,NA,0.711,0.86,0.995152057633594,NA,1,NA,209.8,149.1,72.6,62.4,11.65,44.36,52.49,NA,High,0,151.868,1,41.7,5.49,593.38,14,0,23.7,20.6,37.7,14.2,22.1,6.7,12.7,2.4,6.2,0,50.7,60,64,42.6,38,81.7,14.1,30.6,17.9,0,High,High,High,High,High,High,High,High,High,Not Found,1
Sn00001aa030724_T001,TRUE,Master Protein,Sn00001aa030724_T001,5,2,2,328,NA,1.727,1.034,0.757151409667086,NA,1,NA,149,257.3,22.7,23.4,19.39,35.14,49.88,NA,High,0,6.108,1,36.3,8.06,5.87,2,0,62.4,46.1,55.1,81.8,134.3,9.7,12.7,2.3,7.3,0,133.6,134.2,93.5,245.6,230.7,118.2,14.1,29.4,21,0,High,High,High,High,High,High,High,High,High,Not Found,1
Sn00001aa002393_T001,TRUE,Master Protein,Sn00001aa002393_T001,4,2,3,538,NA,1.236,2.277,0.998916302868227,0.364290658118888,1,0.913620583416022,97.3,120.2,73.8,168.1,16.79,30.27,70.68,61.32,High,0,5.509,2,62.1,7.43,6.83,2,0,19.4,10.6,18.9,13.2,30.4,2.3,12.7,3.3,12.1,8,41.5,30.9,32.1,39.6,52.2,28,14.1,42.1,34.8,88.2,High,High,High,High,High,High,High,High,High,High,1
Sn00001aa011312_T001,TRUE,Master Protein,Sn00001aa011312_T001,8,2,3,273,NA,1.119,1.855,0.975102272523126,NA,1,NA,128.7,144,62.6,116.2,26.14,19.75,NA,NA,High,0,6.783,2,29.4,7.31,7.18,2,0,16.8,7.2,17.3,9.5,22,0,12.9,0,9.2,0,36,21,29.3,28.5,37.8,0,14.3,0,26.5,0,High,High,High,High,High,High,High,High,High,High,1
Sn00001aa075827_T001,TRUE,Master Protein,Sn00001aa075827_T001,5,2,2,358,NA,1.478,1.714,0.975322244198975,NA,1,NA,174.9,258.5,27.4,47,11.82,33.32,NA,NA,High,0,6.04,1,39.7,6.87,6.31,2,0,50.2,31.3,50.7,46.3,78.4,5.8,12.9,0,8.5,0,107.5,91.1,86,139,134.7,70.7,14.3,0,24.5,0,High,High,High,High,High,High,High,Not Found,High,Not Found,1
Sn00001aa062244_T001,TRUE,Master Protein,Sn00001aa062244_T001,14,3,4,226,NA,0.92,3.552,0.908970037673423,NA,1,NA,149.2,137.3,34.6,122.9,31.16,13,NA,7.38,High,0,8.058,1,24.9,9.61,10.38,3,1,41.2,21.3,28.1,19,35.9,3.9,13,0,18.7,4.4,88.2,62,47.7,57.1,61.7,47.5,14.4,0,53.8,48.5,High,High,High,High,High,High,High,High,High,High,1
Sn00001aa081074_T001,TRUE,Master Protein,Sn00001aa081074_T001,1,2,2,1862,NA,1.045,1.864,0.999965481933763,NA,1,NA,134.3,140.4,48.5,90.4,19,30.16,NA,15.51,High,0,5.053,2,210.6,4.65,5.99,2,0,19.2,19.2,23.9,10.6,25,4.8,13.4,0,8.6,2.8,41.1,55.9,40.5,31.8,42.9,58.5,14.8,0,24.8,30.9,High,High,High,High,High,High,High,High,High,High,1
Sn00001aa057522_T002,TRUE,Master Protein,Sn00001aa057522_T002,6,2,2,423,NA,1.217,1.29,0.960023028549867,NA,1,NA,93.5,113.8,104.2,134.4,17.74,17.75,60.55,NA,High,0.001,3.714,2,47.3,8.53,5.22,2,0,8.3,8.7,12.4,7.1,14.9,2.5,13.4,2.9,10.5,0,17.8,25.3,21,21.3,25.6,30.5,14.8,37,30.2,0,High,High,High,High,High,High,High,High,High,Not Found,1
Sn00001aa029099_T001,TRUE,Master Protein,Sn00001aa029099_T001,18,3,9,224,NA,1.715,1.465,0.569806870309548,NA,1,NA,134.7,230.9,26.7,39.1,29.58,13.21,NA,46.59,High,0,14.795,1,21.5,5.9,27.35,3,0,33.2,41.3,46.1,48.2,64.7,11,14,0,5.6,2.9,71.1,120.2,78.2,144.7,111.1,134.1,15.5,0,16.1,32,High,High,High,High,High,High,High,Not Found,High,High,1
Sn00001aa006971_T001,TRUE,Master Protein,Sn00001aa006971_T001,27,8,83,352,NA,0.513,1.273,0.0439567512865364,NA,0.420367602862574,NA,273.3,140.1,45.1,57.5,20.33,15.07,NA,NA,High,0,60.794,1,39.9,6.96,301.37,8,0,38,41.5,55.7,12.3,28.2,4,14.1,0,6.9,0,81.3,120.8,94.5,36.9,48.4,48.8,15.6,0,19.9,0,High,High,High,High,High,High,High,Not Found,High,Not Found,1
Sn00001aa038075_T001,TRUE,Master Protein,Sn00001aa038075_T001,13,8,43,759,NA,0.831,1.14,0.996098520792447,0.998750616663699,1,1,229.6,190.8,36.9,42,12.47,10.18,70.46,8.38,High,0,49.556,1,79,5.49,143.22,8,0,64.5,60.1,100.4,51.3,82.4,10.3,14.3,3.7,10.2,3,138.1,175,170.3,154,141.5,125.5,15.8,47.2,29.4,33.1,High,High,High,High,High,High,High,High,High,High,1
Sn00001aa022361_T001,TRUE,Master Protein,Sn00001aa022361_T001,8,2,2,261,NA,1.107,1.024,0.999830256510116,NA,1,NA,190.8,211.3,43.1,44.1,13.6,22.47,60.64,NA,High,0,5.379,2,27.1,6.09,5.14,2,0,52,38.1,51.2,43,71.5,6.8,14.3,3.1,8.9,0,111.3,110.9,86.9,129.1,122.8,82.9,15.8,39.6,25.6,0,High,High,High,High,High,High,High,High,High,Not Found,1
Sn00001aa067372_T001,TRUE,Master Protein,Sn00001aa067372_T001,6,2,2,306,NA,2.508,0.847,0.219467948153883,0.998992664482916,1,1,98.5,247,82.9,70.2,34.77,18.3,88.33,14.39,High,0,3.778,2,32.9,7.01,4.37,2,0,18.4,17.4,14.3,32.9,45,9.2,14.4,5.4,10.8,2.3,39.4,50.7,24.3,98.8,77.3,112.1,15.9,69,31.1,25.4,High,High,High,High,High,High,High,High,High,High,1
Sn00001aa054456_T001,TRUE,Master Protein,Sn00001aa054456_T001,34,7,17,190,NA,0.855,1.687,0.824230024073817,NA,1,NA,216.4,185,25.4,42.8,17.52,34.77,NA,NA,High,0,35.431,1,21.4,9.67,58.6,7,0,73.3,47,64.8,46,38.3,9.6,14.5,0,9.4,0,156.9,136.8,109.9,138.1,65.8,117,16,0,27.1,0,High,High,High,High,High,High,High,Not Found,High,Not Found,1
Sn00001aa068215_T001,TRUE,Master Protein,Sn00001aa068215_T001,5,2,2,465,NA,0.869,1.118,0.834836974671019,NA,1,NA,214,186,39.8,44.4,13.18,12.17,NA,NA,High,0,5.038,2,48.9,8.38,4.78,2,0,37.5,35.7,52.3,27.4,44.9,5.3,14.9,0,6.4,0,80.3,103.9,88.7,82.3,77.1,64.6,16.5,0,18.4,0,High,High,High,High,High,High,High,Not Found,High,High,1
Sn00001aa020868_T001,TRUE,Master Protein,Sn00001aa020868_T001,4,2,3,619,NA,1.285,0.824,0.964828325584187,NA,1,NA,112.5,144.6,113.6,93.7,23.7,1.94,64.82,NA,High,0,6.546,1,67.5,7.52,10.86,2,0,16.8,7.8,15.9,11.7,19.9,0,15,3.5,7.8,0,36,22.7,27,35.1,34.2,0,16.6,44.7,22.5,0,High,High,High,High,High,Not Found,High,High,High,High,1
Sn00001aa025408_T003,TRUE,Master Protein,Sn00001aa025408_T003,4,2,2,507,NA,1.854,1.283,0.759570959390117,NA,1,NA,101.7,188.5,48.1,61.7,7.98,49.59,NA,NA,High,0.001,3.675,2,55.6,9.19,5.12,2,0,16.4,13.7,20.4,29.9,37.9,2.4,15,0,7.4,0,35.1,39.9,34.6,89.8,65.1,29.3,16.6,0,21.3,0,High,High,High,High,High,High,High,Not Found,High,Not Found,1
Sn00001aa002509_T001,TRUE,Master Protein,Sn00001aa002509_T001,10,2,8,316,NA,1.08,0.89,0.999967911027988,NA,1,NA,162,174.9,73.1,65.1,25.76,40.52,NA,NA,High,0,12.871,2,35.8,8.7,28.45,2,0,24.2,12.8,18.7,13.4,16,5.1,15.2,0,5.2,0,51.8,37.3,31.7,40.2,27.5,62.2,16.8,0,15,0,High,High,High,High,High,High,High,High,High,High,1
Sn00001aa075984_T001,TRUE,Master Protein,Sn00001aa075984_T001,15,5,5,366,NA,1.283,1.11,0.995257765845946,NA,1,NA,155.5,199.4,26.7,29.6,24.65,14.26,NA,40.29,High,0,15.226,1,39.9,7.68,15.93,5,0,44.7,50.1,58.5,50,74.1,9.3,15.4,0,4.9,2.3,95.7,145.9,99.2,150.1,127.3,113.4,17,0,14.1,25.4,High,High,High,High,High,High,High,Not Found,High,High,1
Sn00001aa012083_T001,TRUE,Master Protein,Sn00001aa012083_T001,5,2,2,543,NA,1.227,2.026,0.932797305687073,NA,1,NA,140.6,172.4,51.1,103.6,15.75,32.26,NA,21.78,High,0,7.036,2,57.5,6.05,6.06,2,0,26.5,14.3,27.8,24.3,26.7,0,15.5,0,14.1,2.7,56.7,41.6,47.2,73,45.9,0,17.2,0,40.6,29.8,High,High,High,High,High,High,High,High,High,High,1
Sn00001aa094900_T001,TRUE,Master Protein,Sn00001aa094900_T001,24,6,9,284,NA,0.713,1.317,0.622119019006457,NA,1,NA,237,169.1,24.9,32.9,24.11,21.48,NA,NA,High,0,19.642,4,31.3,5.47,22.46,6,0,77.6,83,94.1,48.3,69,7.7,15.8,0,8,0,166.1,241.7,159.6,145,118.5,93.9,17.5,0,23,0,High,High,High,High,High,High,High,High,High,High,1
Sn00001aa008966_T002,TRUE,Master Protein,Sn00001aa008966_T002,2,2,3,748,NA,1.192,1.597,0.581224757655544,NA,1,NA,163.5,194.8,33.5,53.5,7.7,18.22,NA,NA,High,0,5.934,1,82.3,7.68,7.95,2,0,44,29.3,47.8,44.8,59.2,8,15.8,0,9.7,0,94.2,85.3,81.1,134.5,101.7,97.5,17.5,0,27.9,0,High,High,High,High,High,High,High,High,High,High,1
Sn00001aa041379_T001,TRUE,Master Protein,Sn00001aa041379_T001,16,2,2,153,NA,1.838,2.361,0.0838580128133619,NA,0.629080259931182,NA,73.6,135.3,48.3,114.2,6.34,11.85,NA,22.96,High,0.001,3.443,1,17.1,6.61,6.19,2,0,11.8,9.2,16.9,16.4,23.7,4.2,15.9,0,17,3.2,25.3,26.8,28.7,49.2,40.7,51.2,17.6,0,48.9,35.3,High,High,High,High,High,High,High,Not Found,High,High,1
Sn00001aa093831_T001,TRUE,Master Protein,Sn00001aa093831_T001,24,4,7,213,NA,1.122,3.326,0.999999992798293,NA,1,NA,75.5,84.7,49.7,165.3,14.79,36.75,NA,35.85,High,0,23.028,2,23,11.05,29.48,4,0,12.8,7.2,16.2,5.2,17.9,2.8,16.3,0,27,4.2,27.4,21,27.5,15.6,30.7,34.1,18,0,77.7,46.3,High,High,High,High,High,High,High,High,High,High,1
Sn00001aa023709_T001,TRUE,Master Protein,Sn00001aa023709_T001,16,6,13,539,NA,1.132,1.317,0.524202149968552,NA,1,NA,135.1,153,56.5,74.4,21.55,33.12,NA,NA,High,0,26.99,1,58,7.37,44.76,6,0,22,14.9,18,27.5,28.6,3.9,16.4,0,8.3,0,47.1,43.4,30.5,82.6,49.1,47.5,18.1,0,23.9,0,High,High,High,High,High,High,High,Not Found,High,Not Found,1
Sn00001aa057868_T002,TRUE,Master Protein,Sn00001aa057868_T002,4,2,2,479,NA,1.408,1.081,0.157112735516516,NA,0.847776585199086,NA,117.1,164.9,67.2,72.6,20.36,2.11,NA,NA,High,0,4.125,2,52.6,5.35,4.08,2,0,19.5,11,16.7,15.2,25.5,3.7,16.6,0,6.9,0,41.7,32,28.3,45.6,43.8,45.1,18.4,0,19.9,0,High,High,High,High,High,High,High,Not Found,High,High,1
Sn00001aa098925_T002,TRUE,Master Protein,Sn00001aa098925_T002,6,2,3,569,NA,0.776,0.603,0.999822368751995,0.745857936648254,1,1,170.5,132.3,102.3,61.7,10.02,38.46,54.48,42.86,High,0,7.903,2,59.4,9.61,9.61,2,0,20.5,18.3,27.6,12.1,20.9,5.5,16.9,3.3,4.3,2.1,43.9,53.3,46.8,36.3,35.9,67,18.7,42.1,12.4,23.1,High,High,High,High,High,High,High,High,High,High,1
Sn00001aa057348_T001,TRUE,Master Protein,Sn00001aa057348_T001,8,2,2,255,NA,0.969,1.607,0.999999978957892,NA,1,NA,123.7,119.9,63.8,102.6,8.75,25.28,NA,NA,High,0,6.056,2,27.6,8.31,5.9,2,0,15,13.1,21.5,9.1,26.5,2.9,17,0,10.5,0,32.1,38.1,36.5,27.3,45.5,35.3,18.8,0,30.2,0,High,High,High,High,High,High,High,Not Found,High,Not Found,1
Sn00001aa060145_T006,TRUE,Master Protein,Sn00001aa060145_T006,6,2,3,483,NA,1.002,1.098,0.999994837498106,0.998623947780636,1,1,138.9,139.1,84.6,92.9,15.92,25.82,40.44,35.18,High,0,8.78,2,53.7,6.28,13.55,2,0,19.7,11.9,28.2,10,24.6,4.2,17.3,2.7,7.6,3.3,42.2,34.6,47.8,30,42.3,51.2,19.1,34.5,21.9,36.4,High,High,High,High,High,High,High,High,High,High,1
Sn00001aa023124_T001,TRUE,Master Protein,Sn00001aa023124_T001,44,8,23,229,NA,0.775,0.728,0.765804996900402,NA,1,NA,192.8,149.5,93.4,68,15.3,12.48,48.5,NA,High,0,41.579,2,24.5,7.87,79.57,8,0,26.7,20.2,25.9,12.1,25.8,3.8,17.5,3.1,7,0,57.2,58.8,43.9,36.3,44.3,46.3,19.4,39.6,20.2,0,High,High,High,High,High,High,High,High,High,High,1
Sn00001aa006774_T001,TRUE,Master Protein,Sn00001aa006774_T001,8,2,3,398,NA,1.009,1.469,0.999999612604784,NA,1,NA,137,138.2,66.4,97.5,14.82,16.3,NA,20.31,High,0,10.183,2,43.5,6.58,12.29,2,0,22.2,13.8,20.9,13.5,28.4,2.9,17.6,0,8.6,3,47.5,40.2,35.5,40.5,48.8,35.3,19.5,0,24.8,33.1,High,High,High,High,High,High,High,High,High,High,1
Sn00001aa056351_T001,TRUE,Master Protein,Sn00001aa056351_T001,7,2,3,288,NA,3.132,1.371,0.0087986633328514,NA,0.168287894845931,NA,81.6,255.4,25.5,34.9,27.41,21.94,NA,17.99,High,0,4.759,1,31.2,7.93,8.5,2,0,39.4,16.7,37.4,85.8,97.7,16.3,17.9,0,8.3,2.8,84.3,48.6,63.4,257.6,167.8,198.7,19.8,0,23.9,30.9,High,High,High,High,High,High,High,Not Found,High,High,1
Sn00001aa048392_T001,TRUE,Master Protein,Sn00001aa048392_T001,23,6,8,447,NA,0.854,1.058,0.958731599309617,0.999967583253517,1,1,208.4,177.9,51.9,54.9,18.27,9.65,70.94,3.43,High,0,24.016,1,48.9,5.8,29.62,6,0,54.8,58,81.9,39.5,70.7,8.3,18,4.7,12.4,3.4,117.3,168.9,138.9,118.6,121.4,101.2,19.9,60,35.7,37.5,High,High,High,High,High,High,High,High,High,High,1
Sn00001aa092900_T001,TRUE,Master Protein,Sn00001aa092900_T001,19,2,3,161,NA,0.747,1.322,0.734741264765847,NA,1,NA,194.5,145.2,36.8,48.6,11.17,20.14,NA,11.97,High,0,7.476,1,18.8,6.79,9.44,2,0,49.2,39.9,54.7,26.2,31.6,6.5,18,0,8.4,2.6,105.3,116.2,92.8,78.7,54.3,79.2,19.9,0,24.2,28.7,High,High,High,High,High,High,High,Not Found,High,High,1
Sn00001aa012807_T001,TRUE,Master Protein,Sn00001aa012807_T001,46,25,164,665,NA,1.359,1.441,0.776478682789426,NA,1,NA,100.3,136.3,89.6,129.1,6.55,15.88,NA,1.03,High,0,165.834,1,76,5.02,556.97,25,0,9.8,7.7,14.1,11.1,14.1,2.5,18.1,0,10.1,2.6,21,22.4,23.9,33.3,24.2,30.5,20,0,29.1,28.7,High,High,High,High,High,High,High,Not Found,High,High,1
Sn00001aa101968_T002,TRUE,Master Protein,Sn00001aa101968_T002,14,2,3,209,NA,1.211,1.008,0.907350390409771,NA,1,NA,142.5,172.5,62.5,63,8.65,25.51,NA,30.82,High,0,8.424,2,22.3,9.39,8.72,2,0,22.4,18.6,27.1,25.6,33.8,3.8,19,0,5.9,2.4,48,54.2,46,76.9,58.1,46.3,21,0,17,26.5,High,High,High,High,High,High,High,High,High,High,1
Sn00001aa052746_T001,TRUE,Master Protein,Sn00001aa052746_T001,11,2,2,294,NA,1.896,0.694,0.262853858750859,NA,1,NA,102.6,194.4,98.5,68.3,18.68,18.99,NA,NA,High,0,8.744,1,33,7.46,7.01,2,1,10.5,10.5,13.2,12.4,28.4,0,19.5,0,5.2,0,22.5,30.6,22.4,37.2,48.8,0,21.6,0,15,0,High,High,High,High,High,High,High,High,High,High,1
Sn00001aa002932_T001,TRUE,Master Protein,Sn00001aa002932_T001,24,6,18,376,NA,0.984,0.967,0.999999221428312,0.999984483419827,1,1,124,122,114.8,111,23.25,16.04,26.65,10.91,High,0,34.916,2,40.2,5.48,64.2,6,0,11.8,13.4,16.8,11.9,15.6,2.3,19.7,2.5,8.2,2.5,25.3,39,28.5,35.7,26.8,28,21.8,31.9,23.6,27.6,High,High,High,High,High,High,High,High,High,High,1
Sn00001aa054720_T001,TRUE,Master Protein,Sn00001aa054720_T001,35,6,19,196,NA,1.256,1.305,0.911005864787564,NA,1,NA,167.4,210.3,24.1,31.5,25.35,13.88,NA,22.45,High,0,34.114,1,22,7.44,66.46,6,0,70.7,75.8,83.1,77.5,104.9,15.6,19.7,0,11.6,2.2,151.4,220.7,141,232.7,180.2,190.1,21.8,0,33.4,24.2,High,High,High,High,High,High,High,Not Found,High,High,1
Sn00001aa073726_T002,TRUE,Master Protein,Sn00001aa073726_T002,34,3,8,169,NA,0.899,0.828,0.985398550510454,NA,1,NA,170.5,153.4,81.2,67.2,15.13,30.11,NA,NA,High,0,14.729,2,18.5,5.58,29.06,3,0,20.9,15.8,34.4,11.1,29.9,0,19.8,0,6.3,0,44.7,46,58.4,33.3,51.4,0,21.9,0,18.1,0,High,High,High,High,High,High,High,High,High,High,1
