rank,species,protein_id,orthogroup,log2FC,DAP,description,go_id,go_term,PPV
15,Ag,Ag00001aa097924_T001,OG0000288,2.25368678273227,Up,Class I heat shock protein 1,0051259,protein complex oligomerization,0.571492927751
15,Ag,Ag00001aa097924_T001,OG0000288,2.25368678273227,Up,Class I heat shock protein 1,1901700,response to oxygen-containing compound,0.5532377128
15,Ag,Ag00001aa097924_T001,OG0000288,2.25368678273227,Up,Class I heat shock protein 1,0006457,protein folding,0.535630812239
16,Ag,Ag00001aa028565_T001,OG0009444,2.249445341085839,Up,Low-temperature-induced 65 kDa protein,0009737,response to abscisic acid,0.807268719963
16,Ag,Ag00001aa028565_T001,OG0009444,2.249445341085839,Up,Low-temperature-induced 65 kDa protein,0006950,response to stress,0.463124600874
17,Ag,Ag00001aa013246_T001,OG0005269,2.211012193485512,Up,Ribonuclease 1,0009718,anthocyanin-containing compound biosynthetic process,0.68615992196
17,Ag,Ag00001aa013246_T001,OG0005269,2.211012193485512,Up,Ribonuclease 1,0006401,RNA catabolic process,0.651942052701
17,Ag,Ag00001aa013246_T001,OG0005269,2.211012193485512,Up,Ribonuclease 1,0009611,response to wounding,0.613116673903
17,Ag,Ag00001aa013246_T001,OG0005269,2.211012193485512,Up,Ribonuclease 1,0016036,cellular response to phosphate starvation,0.611188373016
18,Ag,Ag00001aa143736_T001,OG0000288,2.125320473714413,Up,Class I heat shock protein 1,0009651,response to salt stress,0.628216032524
18,Ag,Ag00001aa143736_T001,OG0000288,2.125320473714413,Up,Class I heat shock protein 1,0042542,response to hydrogen peroxide,0.619423208032
18,Ag,Ag00001aa143736_T001,OG0000288,2.125320473714413,Up,Class I heat shock protein 1,0009408,response to heat,0.609861581169
18,Ag,Ag00001aa143736_T001,OG0000288,2.125320473714413,Up,Class I heat shock protein 1,0051259,protein complex oligomerization,0.595371566739
18,Ag,Ag00001aa143736_T001,OG0000288,2.125320473714413,Up,Class I heat shock protein 1,0006457,protein folding,0.556299701565
19,Ag,Ag00001aa006944_T001,OG0020442,2.120351940365222,Up,NA,0045893,positive regulation of DNA-templated transcription,0.688111536935
20,Ag,Ag00001aa041516_T001,OG0009444,2.106348319505147,Up,Low-temperature-induced 65 kDa protein,0009737,response to abscisic acid,0.807307512259
20,Ag,Ag00001aa041516_T001,OG0009444,2.106348319505147,Up,Low-temperature-induced 65 kDa protein,0006950,response to stress,0.546048404298
21,Ag,Ag00001aa100594_T001,OG0015134,2.0854246562526777,Up,"Heat shock protein, mitochondrial",0009408,response to heat,0.725993030941
22,Ag,Ag00001aa052871_T001,NA,2.0765590951316044,Up,23.2 kDa heat shock protein-like,0009651,response to salt stress,0.782168299758
22,Ag,Ag00001aa052871_T001,NA,2.0765590951316044,Up,23.2 kDa heat shock protein-like,0042542,response to hydrogen peroxide,0.769191215044
22,Ag,Ag00001aa052871_T001,NA,2.0765590951316044,Up,23.2 kDa heat shock protein-like,0051259,protein complex oligomerization,0.7336940677
22,Ag,Ag00001aa052871_T001,NA,2.0765590951316044,Up,23.2 kDa heat shock protein-like,0009408,response to heat,0.725838539907
22,Ag,Ag00001aa052871_T001,NA,2.0765590951316044,Up,23.2 kDa heat shock protein-like,0006457,protein folding,0.67602899037
23,Ag,Ag00001aa121107_T001,OG0009444,2.0721058004804194,Up,Low-temperature-induced 65 kDa protein,0009737,response to abscisic acid,0.807381594606
23,Ag,Ag00001aa121107_T001,OG0009444,2.0721058004804194,Up,Low-temperature-induced 65 kDa protein,0006950,response to stress,0.542464386973
24,Ag,Ag00001aa116892_T001,OG0025357,2.0538064436957937,Up,rRNA N-glycosylase,0017148,negative regulation of translation,0.746057939579
24,Ag,Ag00001aa116892_T001,OG0025357,2.0538064436957937,Up,rRNA N-glycosylase,0035821,modulation of process of another organism,0.697410942214
24,Ag,Ag00001aa116892_T001,OG0025357,2.0538064436957937,Up,rRNA N-glycosylase,0006952,defense response,0.687163173201
24,Ag,Ag00001aa116892_T001,OG0025357,2.0538064436957937,Up,rRNA N-glycosylase,0016567,protein ubiquitination,0.432609853752
24,Ag,Ag00001aa116892_T001,OG0025357,2.0538064436957937,Up,rRNA N-glycosylase,0009987,cellular process,0.334859292554
25,Ag,Ag00001aa023522_T001,OG0016454,2.0538064436957937,Up,"39 kDa EF-Hand containing protein, putative, expressed",NA,NA,NA
26,Ag,Ag00001aa009144_T001,NA,2.035975743665129,Up,"phosphoglycerate mutase (2,3-diphosphoglycerate-independent)",0006007,glucose catabolic process,0.786928186225
26,Ag,Ag00001aa009144_T001,NA,2.035975743665129,Up,"phosphoglycerate mutase (2,3-diphosphoglycerate-independent)",0006096,glycolytic process,0.703680961869
27,Ag,Ag00001aa064445_T001,OG0013692,2.034919984349159,Up,Phospholipid-binding protein,NA,NA,NA
28,Ag,Ag00001aa102742_T001,OG0016578,2.032100843167024,Up,Small heat shock protein 26,0009408,response to heat,0.726089967443
29,Ag,Ag00001aa076340_T001,OG0026292,1.973794929652606,Up,NA,NA,NA,NA
30,Ag,Ag00001aa064448_T001,OG0008398,1.9392265777282087,Up,pyruvate decarboxylase,0000949,aromatic amino acid family catabolic process to alcohol via Ehrlich pathway,0.812102481256
31,Ag,Ag00001aa047463_T001,OG0008092,1.9263790251998787,Up,protein-disulfide reductase,0098869,cellular oxidant detoxification,0.568542633647
32,Ag,Ag00001aa099855_T001,OG0041136,1.9160944229383583,Up,Preproricin (Fragment),0017148,negative regulation of translation,0.74608086307
32,Ag,Ag00001aa099855_T001,OG0041136,1.9160944229383583,Up,Preproricin (Fragment),0035821,modulation of process of another organism,0.690575015118
32,Ag,Ag00001aa099855_T001,OG0041136,1.9160944229383583,Up,Preproricin (Fragment),0006952,defense response,0.680505629222
33,Ag,Ag00001aa015316_T001,OG0005796,1.8999489861896717,Up,Peroxidase,0042744,hydrogen peroxide catabolic process,0.741179372327
33,Ag,Ag00001aa015316_T001,OG0005796,1.8999489861896717,Up,Peroxidase,0098869,cellular oxidant detoxification,0.688740419166
33,Ag,Ag00001aa015316_T001,OG0005796,1.8999489861896717,Up,Peroxidase,0006979,response to oxidative stress,0.685757066697
34,Ag,Ag00001aa004824_T001,OG0000654,1.899562360154693,Up,Dirigent protein (Fragment),0009699,phenylpropanoid biosynthetic process,0.78506513667
34,Ag,Ag00001aa004824_T001,OG0000654,1.899562360154693,Up,Dirigent protein (Fragment),0009987,cellular process,0.394026385448
35,Ag,Ag00001aa022279_T001,OG0000034,1.892196710465485,Up,Heat shock protein 70,0006457,protein folding,0.676287961717
36,Ag,Ag00001aa156538_T001,OG0000110,1.8675011509223944,Up,Heat shock protein 83,0006457,protein folding,0.676287770305
36,Ag,Ag00001aa156538_T001,OG0000110,1.8675011509223944,Up,Heat shock protein 83,0050821,protein stabilization,0.478250911235
36,Ag,Ag00001aa156538_T001,OG0000110,1.8675011509223944,Up,Heat shock protein 83,0034605,cellular response to heat,0.47105308661
36,Ag,Ag00001aa156538_T001,OG0000110,1.8675011509223944,Up,Heat shock protein 83,0042742,defense response to bacterium,0.376276153159
36,Ag,Ag00001aa156538_T001,OG0000110,1.8675011509223944,Up,Heat shock protein 83,0045087,innate immune response,0.354191329087
37,Ag,Ag00001aa129885_T002,OG0016166,1.8483975995281936,Up,Late embryogenesis abundant,NA,NA,NA
38,Ag,Ag00001aa106444_T001,OG0016166,1.8387501183331385,Up,Late embryogenesis abundant,NA,NA,NA
39,Ag,Ag00001aa004820_T001,OG0000654,1.8213020398895297,Up,Dirigent protein (Fragment),0009699,phenylpropanoid biosynthetic process,0.785662108105
39,Ag,Ag00001aa004820_T001,OG0000654,1.8213020398895297,Up,Dirigent protein (Fragment),0009987,cellular process,0.394137395379
40,Ag,Ag00001aa110604_T001,OG0001296,1.8184415757641648,Up,Thioredoxin domain-containing protein,0010497,plasmodesmata-mediated intercellular transport,0.529763905355
40,Ag,Ag00001aa110604_T001,OG0001296,1.8184415757641648,Up,Thioredoxin domain-containing protein,0009409,response to cold,0.497848551068
40,Ag,Ag00001aa110604_T001,OG0001296,1.8184415757641648,Up,Thioredoxin domain-containing protein,0006979,response to oxidative stress,0.468249112285
40,Ag,Ag00001aa110604_T001,OG0001296,1.8184415757641648,Up,Thioredoxin domain-containing protein,0010104,regulation of ethylene-activated signaling pathway,0.397166431246
40,Ag,Ag00001aa110604_T001,OG0001296,1.8184415757641648,Up,Thioredoxin domain-containing protein,0010188,response to microbial phytotoxin,0.392204146646
40,Ag,Ag00001aa110604_T001,OG0001296,1.8184415757641648,Up,Thioredoxin domain-containing protein,0009723,response to ethylene,0.388030779941
40,Ag,Ag00001aa110604_T001,OG0001296,1.8184415757641648,Up,Thioredoxin domain-containing protein,0050832,defense response to fungus,0.371424733449
40,Ag,Ag00001aa110604_T001,OG0001296,1.8184415757641648,Up,Thioredoxin domain-containing protein,0043086,negative regulation of catalytic activity,0.368392154064
40,Ag,Ag00001aa110604_T001,OG0001296,1.8184415757641648,Up,Thioredoxin domain-containing protein,0009451,RNA modification,0.33831315851
41,Ag,Ag00001aa151368_T001,OG0010082,1.8122928448732711,Up,Peroxidase,0042744,hydrogen peroxide catabolic process,0.755080302915
41,Ag,Ag00001aa151368_T001,OG0010082,1.8122928448732711,Up,Peroxidase,0006979,response to oxidative stress,0.69789291588
41,Ag,Ag00001aa151368_T001,OG0010082,1.8122928448732711,Up,Peroxidase,0098869,cellular oxidant detoxification,0.688739901685
42,Ag,Ag00001aa012571_T001,OG0022704,1.811881996218668,Up,Aconitate hydratase,0043436,oxoacid metabolic process,0.574243081057
42,Ag,Ag00001aa012571_T001,OG0022704,1.811881996218668,Up,Aconitate hydratase,0006099,tricarboxylic acid cycle,0.453233508195
42,Ag,Ag00001aa012571_T001,OG0022704,1.811881996218668,Up,Aconitate hydratase,0008033,tRNA processing,0.341160538183
42,Ag,Ag00001aa012571_T001,OG0022704,1.811881996218668,Up,Aconitate hydratase,0032259,methylation,0.338714226211
43,Ag,Ag00001aa141013_T001,OG0010191,1.8069426645777624,Up,Malic enzyme,0006108,malate metabolic process,0.777569076049
43,Ag,Ag00001aa141013_T001,OG0010191,1.8069426645777624,Up,Malic enzyme,0006090,pyruvate metabolic process,0.665183571088
44,Ag,Ag00001aa012894_T001,OG0006941,1.7845039829295666,Up,Zeamatin,0050832,defense response to fungus,0.798757740756
44,Ag,Ag00001aa012894_T001,OG0006941,1.7845039829295666,Up,Zeamatin,0141061,disruption of cell in another organism,0.771488998349
44,Ag,Ag00001aa012894_T001,OG0006941,1.7845039829295666,Up,Zeamatin,0001906,cell killing,0.77059675562
45,Ag,Ag00001aa123995_T001,OG0016115,1.78114985171021,Up,23.2 kDa heat shock protein-like,0009651,response to salt stress,0.782173201979
45,Ag,Ag00001aa123995_T001,OG0016115,1.78114985171021,Up,23.2 kDa heat shock protein-like,0042542,response to hydrogen peroxide,0.769195984028
45,Ag,Ag00001aa123995_T001,OG0016115,1.78114985171021,Up,23.2 kDa heat shock protein-like,0051259,protein complex oligomerization,0.733698472231
45,Ag,Ag00001aa123995_T001,OG0016115,1.78114985171021,Up,23.2 kDa heat shock protein-like,0009408,response to heat,0.725842863785
45,Ag,Ag00001aa123995_T001,OG0016115,1.78114985171021,Up,23.2 kDa heat shock protein-like,0006457,protein folding,0.676032802847
46,Ag,Ag00001aa104490_T001,OG0013697,1.7794698572951697,Up,NADP-dependent oxidoreductase domain-containing protein,NA,NA,NA
47,Ag,Ag00001aa009716_T001,OG0016578,1.7523204284596705,Up,Small heat shock protein 26,0009408,response to heat,0.726088960718
48,Ag,Ag00001aa018649_T001,OG0008582,1.729008870337863,Up,Embryonic protein DC-8,NA,NA,NA
49,Ag,Ag00001aa019394_T001,NA,1.7154541271157178,Up,Heat shock protein 70,0006457,protein folding,0.676287950591
50,Ag,Ag00001aa118595_T001,OG0000288,1.7110543218120664,Up,Small heat shock protein HSP,0006979,response to oxidative stress,0.608536616296
50,Ag,Ag00001aa118595_T001,OG0000288,1.7110543218120664,Up,Small heat shock protein HSP,0009651,response to salt stress,0.574259842241
50,Ag,Ag00001aa118595_T001,OG0000288,1.7110543218120664,Up,Small heat shock protein HSP,0051259,protein complex oligomerization,0.546893195381
50,Ag,Ag00001aa118595_T001,OG0000288,1.7110543218120664,Up,Small heat shock protein HSP,0009408,response to heat,0.542458273034
50,Ag,Ag00001aa118595_T001,OG0000288,1.7110543218120664,Up,Small heat shock protein HSP,1901700,response to oxygen-containing compound,0.530321208714
50,Ag,Ag00001aa118595_T001,OG0000288,1.7110543218120664,Up,Small heat shock protein HSP,0006457,protein folding,0.51433775839
51,Ag,Ag00001aa047794_T002,OG0010191,1.70310069960416,Up,Malic enzyme,0006108,malate metabolic process,0.777569095998
51,Ag,Ag00001aa047794_T002,OG0010191,1.70310069960416,Up,Malic enzyme,0006090,pyruvate metabolic process,0.66492867069
52,Ag,Ag00001aa061896_T002,OG0003728,1.70310069960416,Up,NA,0035821,modulation of process of another organism,0.693630050404
53,Ag,Ag00001aa146322_T001,OG0033092,1.698218478224414,Up,WIBG Mago-binding domain-containing protein,NA,NA,NA
54,Ag,Ag00001aa088228_T002,NA,1.6959938131099002,Up,"Starch synthase, chloroplastic/amyloplastic",0019252,starch biosynthetic process,0.830589543698
54,Ag,Ag00001aa088228_T002,NA,1.6959938131099002,Up,"Starch synthase, chloroplastic/amyloplastic",0010021,amylopectin biosynthetic process,0.614165840459
54,Ag,Ag00001aa088228_T002,NA,1.6959938131099002,Up,"Starch synthase, chloroplastic/amyloplastic",0009960,endosperm development,0.572161698252
54,Ag,Ag00001aa088228_T002,NA,1.6959938131099002,Up,"Starch synthase, chloroplastic/amyloplastic",0032259,methylation,0.334079645541
55,Ag,Ag00001aa031593_T001,OG0022016,1.6843699290130068,Up,DUF6817 domain-containing protein (Fragment),NA,NA,NA
56,Ag,Ag00001aa021532_T001,OG0008582,1.674008608617225,Up,Embryonic protein DC-8,NA,NA,NA
57,Ag,Ag00001aa019936_T001,OG0021544,1.6653927710418914,Up,"Quinone-oxidoreductase homolog, chloroplastic",NA,NA,NA
58,Ag,Ag00001aa092812_T001,OG0001959,1.655351828612554,Up,chitinase,0006032,chitin catabolic process,0.787439436905
58,Ag,Ag00001aa092812_T001,OG0001959,1.655351828612554,Up,chitinase,0050832,defense response to fungus,0.771649841326
58,Ag,Ag00001aa092812_T001,OG0001959,1.655351828612554,Up,chitinase,0016998,cell wall macromolecule catabolic process,0.754515788471
58,Ag,Ag00001aa092812_T001,OG0001959,1.655351828612554,Up,chitinase,0000272,polysaccharide catabolic process,0.66189182548
58,Ag,Ag00001aa092812_T001,OG0001959,1.655351828612554,Up,chitinase,0048364,root development,0.354121132827
58,Ag,Ag00001aa092812_T001,OG0001959,1.655351828612554,Up,chitinase,0048367,shoot system development,0.351442182324
59,Ag,Ag00001aa135121_T001,OG0000642,1.6512239429898776,Up,Glutathione S-transferase,0006749,glutathione metabolic process,0.730632183157
59,Ag,Ag00001aa135121_T001,OG0000642,1.6512239429898776,Up,Glutathione S-transferase,0098869,cellular oxidant detoxification,0.345700116663
60,Ag,Ag00001aa015322_T001,OG0018059,1.6433944534798923,Up,Peroxidase,0042744,hydrogen peroxide catabolic process,0.755070508955
60,Ag,Ag00001aa015322_T001,OG0018059,1.6433944534798923,Up,Peroxidase,0006979,response to oxidative stress,0.697884365516
60,Ag,Ag00001aa015322_T001,OG0018059,1.6433944534798923,Up,Peroxidase,0098869,cellular oxidant detoxification,0.688731550362
61,Ag,Ag00001aa055898_T001,OG0009809,1.611172380044005,Up,Dehydrin,0009415,response to water,0.824594139316
61,Ag,Ag00001aa055898_T001,OG0009809,1.611172380044005,Up,Dehydrin,0009631,cold acclimation,0.80898370162
61,Ag,Ag00001aa055898_T001,OG0009809,1.611172380044005,Up,Dehydrin,0009737,response to abscisic acid,0.752064392905
62,Ag,Ag00001aa107539_T001,OG0025357,1.6107000621347642,Up,rRNA N-glycosylase,0017148,negative regulation of translation,0.746052560243
62,Ag,Ag00001aa107539_T001,OG0025357,1.6107000621347642,Up,rRNA N-glycosylase,0035821,modulation of process of another organism,0.685702732342
62,Ag,Ag00001aa107539_T001,OG0025357,1.6107000621347642,Up,rRNA N-glycosylase,0006952,defense response,0.681204647356
62,Ag,Ag00001aa107539_T001,OG0025357,1.6107000621347642,Up,rRNA N-glycosylase,0016567,protein ubiquitination,0.407863014256
62,Ag,Ag00001aa107539_T001,OG0025357,1.6107000621347642,Up,rRNA N-glycosylase,0009987,cellular process,0.329024345908
63,Ag,Ag00001aa022335_T001,OG0008528,1.6097549621724434,Up,Safener induced1,NA,NA,NA
64,Ag,Ag00001aa104120_T004,OG0006161,1.6059683588414584,Up,"Pyruvate, phosphate dikinase",0006090,pyruvate metabolic process,0.692519853316
64,Ag,Ag00001aa104120_T004,OG0006161,1.6059683588414584,Up,"Pyruvate, phosphate dikinase",0015979,photosynthesis,0.645775402781
64,Ag,Ag00001aa104120_T004,OG0006161,1.6059683588414584,Up,"Pyruvate, phosphate dikinase",0009909,regulation of flower development,0.394516579576
65,Ag,Ag00001aa009020_T002,OG0008494,1.599793852122242,Up,UDP-glucose 4-epimerase,0006012,galactose metabolic process,0.755946414159
65,Ag,Ag00001aa009020_T002,OG0008494,1.599793852122242,Up,UDP-glucose 4-epimerase,0009987,cellular process,0.397727077403
66,Ag,Ag00001aa088349_T001,OG0004961,1.591200672932376,Up,Fe2OG dioxygenase domain-containing protein,NA,NA,NA
67,Ag,Ag00001aa007156_T002,OG0003728,1.5714341158765093,Up,CSD domain-containing protein,NA,NA,NA
68,Ag,Ag00001aa027609_T001,OG0024318,1.56900492681818,Up,NA,NA,NA,NA
69,Ag,Ag00001aa096557_T001,OG0000823,1.5577776713949258,Up,Glutathione S-transferase,0006749,glutathione metabolic process,0.730637283447
70,Ag,Ag00001aa022644_T002,NA,1.556797246592743,Up,"phosphoglycerate mutase (2,3-diphosphoglycerate-independent)",0006007,glucose catabolic process,0.786928227293
70,Ag,Ag00001aa022644_T002,NA,1.556797246592743,Up,"phosphoglycerate mutase (2,3-diphosphoglycerate-independent)",0006096,glycolytic process,0.703665609544
71,Ag,Ag00001aa023126_T001,OG0018902,1.5315686088149625,Up,Pathogenesis-related protein 1-21,0006952,defense response,0.392377151332
72,Ag,Ag00001aa044676_T001,OG0000863,1.5310694927259545,Up,Xylanase inhibitor protein 1,0045493,xylan catabolic process,0.740455391032
72,Ag,Ag00001aa044676_T001,OG0000863,1.5310694927259545,Up,Xylanase inhibitor protein 1,0050832,defense response to fungus,0.559327355948
73,Ag,Ag00001aa029945_T001,NA,1.492109552652613,Up,Glucose-6-phosphate 1-dehydrogenase,0009051,"pentose-phosphate shunt, oxidative branch",0.795117305794
73,Ag,Ag00001aa029945_T001,NA,1.492109552652613,Up,Glucose-6-phosphate 1-dehydrogenase,0006006,glucose metabolic process,0.70693343105
74,Ag,Ag00001aa071072_T001,OG0000289,1.491083453718256,Up,Alcohol dehydrogenase 1,0046294,formaldehyde catabolic process,0.753780206942
74,Ag,Ag00001aa071072_T001,OG0000289,1.491083453718256,Up,Alcohol dehydrogenase 1,0034059,response to anoxia,0.369340952231
75,Ag,Ag00001aa102013_T002,NA,1.4880007708340683,Up,"Quinone-oxidoreductase homolog, chloroplastic",NA,NA,NA
76,Ag,Ag00001aa137998_T002,OG0017688,1.476122419880152,Up,L-ascorbate peroxidase,0042744,hydrogen peroxide catabolic process,0.741622655874
76,Ag,Ag00001aa137998_T002,OG0017688,1.476122419880152,Up,L-ascorbate peroxidase,0034599,cellular response to oxidative stress,0.717981107454
76,Ag,Ag00001aa137998_T002,OG0017688,1.476122419880152,Up,L-ascorbate peroxidase,0000302,response to reactive oxygen species,0.710268463465
76,Ag,Ag00001aa137998_T002,OG0017688,1.476122419880152,Up,L-ascorbate peroxidase,0098869,cellular oxidant detoxification,0.688740473027
76,Ag,Ag00001aa137998_T002,OG0017688,1.476122419880152,Up,L-ascorbate peroxidase,0090378,seed trichome elongation,0.367336938976
76,Ag,Ag00001aa137998_T002,OG0017688,1.476122419880152,Up,L-ascorbate peroxidase,0009723,response to ethylene,0.353542335863
76,Ag,Ag00001aa137998_T002,OG0017688,1.476122419880152,Up,L-ascorbate peroxidase,0006869,lipid transport,0.343468623089
77,Ag,Ag00001aa046278_T001,OG0018059,1.474565834538475,Up,Peroxidase,0042744,hydrogen peroxide catabolic process,0.755065345222
77,Ag,Ag00001aa046278_T001,OG0018059,1.474565834538475,Up,Peroxidase,0006979,response to oxidative stress,0.697879857452
77,Ag,Ag00001aa046278_T001,OG0018059,1.474565834538475,Up,Peroxidase,0098869,cellular oxidant detoxification,0.68872714724
78,Ag,Ag00001aa018455_T003,OG0015799,1.4719677876615156,Up,Beta-amylase,0000272,polysaccharide catabolic process,0.705269312252
78,Ag,Ag00001aa018455_T003,OG0015799,1.4719677876615156,Up,Beta-amylase,0009987,cellular process,0.397727268408
78,Ag,Ag00001aa018455_T003,OG0015799,1.4719677876615156,Up,Beta-amylase,0009414,response to water deprivation,0.353318629715
78,Ag,Ag00001aa018455_T003,OG0015799,1.4719677876615156,Up,Beta-amylase,0005982,starch metabolic process,0.353075250464
79,Ag,Ag00001aa005889_T001,NA,1.447314700253176,Up,ATP-dependent 6-phosphofructokinase 2,0061615,glycolytic process through fructose-6-phosphate,0.779404718334
79,Ag,Ag00001aa005889_T001,NA,1.447314700253176,Up,ATP-dependent 6-phosphofructokinase 2,0006002,fructose 6-phosphate metabolic process,0.748154026219
80,Ag,Ag00001aa047169_T001,OG0000034,1.415217824888839,Up,Heat shock protein 70,0006457,protein folding,0.676287942701
81,Ag,Ag00001aa120445_T001,OG0000863,1.3851548968843437,Up,Xylanase inhibitor protein 1,0045493,xylan catabolic process,0.775694662819
81,Ag,Ag00001aa120445_T001,OG0000863,1.3851548968843437,Up,Xylanase inhibitor protein 1,0050832,defense response to fungus,0.59006295311
82,Ag,Ag00001aa138044_T002,OG0000654,1.3707222751481671,Up,Dirigent protein (Fragment),0009699,phenylpropanoid biosynthetic process,0.785907295022
82,Ag,Ag00001aa138044_T002,OG0000654,1.3707222751481671,Up,Dirigent protein (Fragment),0009987,cellular process,0.394182989156
83,Ag,Ag00001aa127927_T001,OG0011610,1.3595211704275951,Up,NA,0009611,response to wounding,0.771693556156
84,Ag,Ag00001aa009888_T001,OG0021022,1.3561438102252754,Up,Heat shock 70 kDa protein 8,0006457,protein folding,0.676287479919
84,Ag,Ag00001aa009888_T001,OG0021022,1.3561438102252754,Up,Heat shock 70 kDa protein 8,0009408,response to heat,0.497903545662
85,Ag,Ag00001aa067474_T001,OG0001296,1.3362833878644322,Up,Thioredoxin domain-containing protein,0010497,plasmodesmata-mediated intercellular transport,0.530765088767
85,Ag,Ag00001aa067474_T001,OG0001296,1.3362833878644322,Up,Thioredoxin domain-containing protein,0009409,response to cold,0.498707760923
85,Ag,Ag00001aa067474_T001,OG0001296,1.3362833878644322,Up,Thioredoxin domain-containing protein,0006979,response to oxidative stress,0.468770776672
85,Ag,Ag00001aa067474_T001,OG0001296,1.3362833878644322,Up,Thioredoxin domain-containing protein,0010104,regulation of ethylene-activated signaling pathway,0.398592246951
85,Ag,Ag00001aa067474_T001,OG0001296,1.3362833878644322,Up,Thioredoxin domain-containing protein,0010188,response to microbial phytotoxin,0.391540785101
85,Ag,Ag00001aa067474_T001,OG0001296,1.3362833878644322,Up,Thioredoxin domain-containing protein,0009723,response to ethylene,0.38931572555
85,Ag,Ag00001aa067474_T001,OG0001296,1.3362833878644322,Up,Thioredoxin domain-containing protein,0050832,defense response to fungus,0.370918898881
