tmt_batch,protein_id,sample,season,normalized_abundance,log_abundance
1,Td00001aa023036_T001,C004-1,Winter,1841.7,7.518444337644537
1,Td00001aa023036_T001,C004-2,Winter,1748.9,7.466742298426934
1,Td00001aa023036_T001,C004-3,Winter,1663.4,7.416618980035765
1,Td00001aa008295_T001,C002-1,Summer,402,5.996452091106583
1,Td00001aa008295_T001,C002-2,Summer,237.1,5.46848199728899
1,Td00001aa008295_T001,C002-3,Summer,269.2,5.595454601485283
1,Td00001aa008295_T001,C004-1,Summer,217.9,5.384036246539836
1,Td00001aa008295_T001,C004-2,Summer,249.1,5.517854426282587
1,Td00001aa008295_T001,C004-3,Summer,437.4,6.080848110528904
1,Td00001aa008295_T001,C002-1,Winter,306,5.723585105220355
1,Td00001aa008295_T001,C002-2,Winter,357.3,5.878575767828132
1,Td00001aa008295_T001,C002-3,Winter,293.8,5.682899267143453
1,Td00001aa008295_T001,C004-1,Winter,423.3,6.048081149889269
1,Td00001aa008295_T001,C004-2,Winter,269.6,5.596939382747351
1,Td00001aa008295_T001,C004-3,Winter,263.9,5.575570247298592
1,Td00001aa010844_T002,C002-1,Summer,1360.4,7.215534053868119
1,Td00001aa010844_T002,C002-2,Summer,1023.1,6.930592513862316
1,Td00001aa010844_T002,C002-3,Summer,1045.7,6.952441797560841
1,Td00001aa010844_T002,C004-1,Summer,951.5,6.858039687787176
1,Td00001aa010844_T002,C004-2,Summer,982,6.889591309372796
1,Td00001aa010844_T002,C004-3,Summer,1499.3,7.312753612167835
1,Td00001aa010844_T002,C002-1,Winter,1649.6,7.408288113868903
1,Td00001aa010844_T002,C002-2,Winter,1890.7,7.544702410382788
1,Td00001aa010844_T002,C002-3,Winter,1758.7,7.47233017931092
1,Td00001aa010844_T002,C004-1,Winter,1972,7.58680353566968
1,Td00001aa010844_T002,C004-2,Winter,1761.2,7.473750674449393
1,Td00001aa010844_T002,C004-3,Winter,1683.7,7.428749032257684
1,Td00001aa020472_T001,C002-1,Summer,6078.6,8.712529685452198
1,Td00001aa020472_T001,C002-2,Summer,7166.5,8.877172669502809
1,Td00001aa020472_T001,C002-3,Summer,5681.8,8.645023363097003
1,Td00001aa020472_T001,C004-1,Summer,9980.5,9.208388468351133
1,Td00001aa020472_T001,C004-2,Summer,7423.2,8.912365510173682
1,Td00001aa020472_T001,C004-3,Summer,6850.7,8.832106115962244
1,Td00001aa020472_T001,C002-1,Winter,6582.1,8.792109122490272
1,Td00001aa020472_T001,C002-2,Winter,4557.4,8.424507564677429
1,Td00001aa020472_T001,C002-3,Winter,6418.2,8.766892983695946
1,Td00001aa020472_T001,C004-1,Winter,4649.9,8.444600993188873
1,Td00001aa020472_T001,C004-2,Winter,5427.5,8.599233901936694
1,Td00001aa020472_T001,C004-3,Winter,7166.7,8.877200576739153
1,Td00001aa039962_T002,C002-1,Summer,58.1,4.062165681069569
1,Td00001aa039962_T002,C002-2,Summer,60.7,4.105943714539917
1,Td00001aa039962_T002,C002-3,Summer,53.1,3.9721769470802846
1,Td00001aa039962_T002,C004-1,Summer,65.1,4.1759245645755065
1,Td00001aa039962_T002,C004-2,Summer,49.9,3.9100210227975527
1,Td00001aa039962_T002,C004-3,Summer,53.6,3.9815490867334726
1,Td00001aa039962_T002,C002-1,Winter,53.5,3.9796816725935495
1,Td00001aa039962_T002,C002-2,Winter,40.2,3.693867020500597
1,Td00001aa039962_T002,C002-3,Winter,52.8,3.9665112096516095
1,Td00001aa039962_T002,C004-1,Winter,41.5,3.7256934513330378
1,Td00001aa039962_T002,C004-2,Winter,36.5,3.5973122879857056
1,Td00001aa039962_T002,C004-3,Winter,55,4.007333203414289
1,Td00001aa037423_T002,C002-1,Summer,13115.5,9.481550015935678
1,Td00001aa037423_T002,C002-2,Summer,13959.9,9.543944213038559
1,Td00001aa037423_T002,C002-3,Summer,13126.5,9.482388366720178
1,Td00001aa037423_T002,C004-1,Summer,13525,9.51229510378862
1,Td00001aa037423_T002,C004-2,Summer,13716.6,9.526362057230886
1,Td00001aa037423_T002,C004-3,Summer,12061.6,9.397782131547617
1,Td00001aa037423_T002,C002-1,Winter,15143.4,9.625320072518967
1,Td00001aa037423_T002,C002-2,Winter,16040,9.68284088148285
1,Td00001aa037423_T002,C002-3,Winter,16596.2,9.716929032537049
1,Td00001aa037423_T002,C004-1,Winter,13338.1,9.498379880615039
1,Td00001aa037423_T002,C004-2,Winter,14590.8,9.58814647215891
1,Td00001aa037423_T002,C004-3,Winter,13205.8,9.488411406084332
1,Td00001aa042873_T001,C002-1,Summer,157.4,5.058790342336543
1,Td00001aa042873_T001,C002-2,Summer,214.7,5.369241709542397
1,Td00001aa042873_T001,C002-3,Summer,146.8,4.989071122992405
1,Td00001aa042873_T001,C004-1,Summer,236.6,5.466370955770829
1,Td00001aa042873_T001,C004-2,Summer,189.5,5.2443890297995255
1,Td00001aa042873_T001,C004-3,Summer,184.1,5.215479093670862
1,Td00001aa042873_T001,C002-1,Winter,175.2,5.1659281842100535
1,Td00001aa042873_T001,C002-2,Winter,140,4.941642429752162
1,Td00001aa042873_T001,C002-3,Winter,174.4,5.161351517208824
1,Td00001aa042873_T001,C004-1,Winter,150.2,5.011967745987824
1,Td00001aa042873_T001,C004-2,Winter,148.6,5.001258139013133
1,Td00001aa042873_T001,C004-3,Winter,187.8,5.235377572098976
1,Td00001aa011430_T003,C002-1,Summer,5519.4,8.616024437892346
1,Td00001aa011430_T003,C002-2,Summer,7172.5,8.87800954799494
1,Td00001aa011430_T003,C002-3,Summer,4189.2,8.3402650641377
1,Td00001aa011430_T003,C004-1,Summer,3778.8,8.237161778159614
1,Td00001aa011430_T003,C004-2,Summer,3842.4,8.253852450610868
1,Td00001aa011430_T003,C004-3,Summer,5080.7,8.533204326552044
1,Td00001aa011430_T003,C002-1,Winter,10859.1,9.292758717217687
1,Td00001aa011430_T003,C002-2,Winter,13518.8,9.511836588335306
1,Td00001aa011430_T003,C002-3,Winter,7260.5,8.890203976108523
1,Td00001aa011430_T003,C004-1,Winter,4347.9,8.377448249126576
1,Td00001aa011430_T003,C004-2,Winter,3312.4,8.10542828146144
1,Td00001aa011430_T003,C004-3,Winter,8575.2,9.056629595493925
1,Td00001aa007283_T003,C002-1,Summer,460.1,6.131443859334864
1,Td00001aa007283_T003,C002-2,Summer,430.4,6.064715011170994
1,Td00001aa007283_T003,C002-3,Summer,528,6.269096285600201
1,Td00001aa007283_T003,C004-1,Summer,637.2,6.45708357960526
1,Td00001aa007283_T003,C004-2,Summer,614,6.4199949297758065
1,Td00001aa007283_T003,C004-3,Summer,599.8,6.396596267982131
1,Td00001aa007283_T003,C002-1,Winter,409.4,6.014692675669788
1,Td00001aa007283_T003,C002-2,Winter,425.7,6.053734875183179
1,Td00001aa007283_T003,C002-3,Winter,411.7,6.020294931204812
1,Td00001aa007283_T003,C004-1,Winter,454.7,6.119637863030217
1,Td00001aa007283_T003,C004-2,Winter,505.5,6.225548040438765
1,Td00001aa007283_T003,C004-3,Winter,470.1,6.152945440157292
1,Td00001aa022532_T002,C002-1,Summer,8480.1,9.045477521287172
1,Td00001aa022532_T002,C002-2,Summer,8125.4,9.002750236878445
1,Td00001aa022532_T002,C002-3,Summer,9336.2,9.141654596294773
1,Td00001aa022532_T002,C004-1,Summer,8802.7,9.082813771702645
1,Td00001aa022532_T002,C004-2,Summer,9025.6,9.107820263096508
1,Td00001aa022532_T002,C004-3,Summer,8811.5,9.083812965617913
1,Td00001aa022532_T002,C002-1,Winter,7198.7,8.881655733285388
1,Td00001aa022532_T002,C002-2,Winter,7432.6,8.913631009339428
1,Td00001aa022532_T002,C002-3,Winter,7367.9,8.904888005774637
1,Td00001aa022532_T002,C004-1,Winter,7297.5,8.895287102865304
1,Td00001aa022532_T002,C004-2,Winter,7628.9,8.939698946257566
1,Td00001aa022532_T002,C004-3,Winter,6276.6,8.744583711737093
1,Td00001aa019280_T001,C002-1,Summer,914.1,6.817939975753745
1,Td00001aa019280_T001,C002-2,Summer,895.2,6.797047158114784
1,Td00001aa019280_T001,C002-3,Summer,776.1,6.654281379148587
1,Td00001aa019280_T001,C004-1,Summer,717.9,6.576330284975389
1,Td00001aa019280_T001,C004-2,Summer,718.2,6.576748083184352
1,Td00001aa019280_T001,C004-3,Summer,877.6,6.777190910100492
1,Td00001aa019280_T001,C002-1,Winter,4589.5,8.431526364877035
1,Td00001aa019280_T001,C002-2,Winter,3686.9,8.212541275815887
1,Td00001aa019280_T001,C002-3,Winter,4510.5,8.414163291318399
1,Td00001aa019280_T001,C004-1,Winter,3802.8,8.24349291674784
1,Td00001aa019280_T001,C004-2,Winter,4292.1,8.364531402873384
1,Td00001aa019280_T001,C004-3,Winter,3942.8,8.279646410044911
1,Td00001aa024202_T001,C002-1,Summer,1221.6,7.107916754723021
1,Td00001aa024202_T001,C002-2,Summer,1123.8,7.024471079567936
1,Td00001aa024202_T001,C002-3,Summer,1209.6,7.098045006251988
1,Td00001aa024202_T001,C004-1,Summer,1319.4,7.184932367546691
1,Td00001aa024202_T001,C004-2,Summer,1296.4,7.167346472038759
1,Td00001aa024202_T001,C004-3,Summer,1199.6,7.089743447708465
1,Td00001aa024202_T001,C002-1,Winter,550.2,6.310281850307995
1,Td00001aa024202_T001,C002-2,Winter,609.6,6.412803006012856
1,Td00001aa024202_T001,C002-3,Winter,409.2,6.014204036521265
1,Td00001aa024202_T001,C004-1,Winter,651.6,6.479430878262574
1,Td00001aa024202_T001,C004-2,Winter,698,6.548219104195037
1,Td00001aa024202_T001,C004-3,Winter,604,6.4035741995904445
1,Td00001aa010473_T001,C002-1,Summer,7966.7,8.98302563346868
1,Td00001aa010473_T001,C002-2,Summer,8352.2,9.030280256315592
1,Td00001aa010473_T001,C002-3,Summer,7509.9,8.923977429223457
1,Td00001aa010473_T001,C004-1,Summer,8428.6,9.03938596377595
1,Td00001aa010473_T001,C004-2,Summer,7232.1,8.886284729548315
1,Td00001aa010473_T001,C004-3,Summer,8127.4,9.002996348318916
1,Td00001aa010473_T001,C002-1,Winter,11371.4,9.33885671029913
1,Td00001aa010473_T001,C002-2,Winter,9023.2,9.107554317436533
1,Td00001aa010473_T001,C002-3,Winter,8509,9.04887970596708
1,Td00001aa010473_T001,C004-1,Winter,10141.2,9.224361613437045
1,Td00001aa010473_T001,C004-2,Winter,10661.5,9.274394400860084
1,Td00001aa010473_T001,C004-3,Winter,11252.3,9.328327831269965
1,Td00001aa027184_T001,C002-1,Summer,839.5,6.732806477708781
1,Td00001aa027184_T001,C002-2,Summer,1017.6,6.925202193568562
1,Td00001aa027184_T001,C002-3,Summer,875.3,6.774566685880858
1,Td00001aa027184_T001,C004-1,Summer,1065.6,6.971293300724563
1,Td00001aa027184_T001,C004-2,Summer,1123.1,7.023847998859383
1,Td00001aa027184_T001,C004-3,Summer,836.1,6.728748224352041
1,Td00001aa027184_T001,C002-1,Winter,1121.2,7.022154820182535
1,Td00001aa027184_T001,C002-2,Winter,1126.6,7.02695952734824
1,Td00001aa027184_T001,C002-3,Winter,1401.9,7.245583739087808
1,Td00001aa027184_T001,C004-1,Winter,904.7,6.807603398137035
1,Td00001aa027184_T001,C004-2,Winter,1212.9,7.1007694661393055
1,Td00001aa027184_T001,C004-3,Winter,1794.5,7.4924817111449205
1,Td00001aa025144_T001,C002-1,Summer,732.8,6.5968728147245494
1,Td00001aa025144_T001,C002-2,Summer,810.9,6.698144743183709
1,Td00001aa025144_T001,C002-3,Summer,778.8,6.6577542747820715
1,Td00001aa025144_T001,C004-1,Summer,859,6.7557689231484
1,Td00001aa025144_T001,C004-2,Summer,918,6.822197391709815
1,Td00001aa025144_T001,C004-3,Summer,770.1,6.646520377843737
1,Td00001aa025144_T001,C002-1,Winter,866.2,6.764115829934994
1,Td00001aa025144_T001,C002-2,Winter,805.4,6.691339049658973
1,Td00001aa025144_T001,C002-3,Winter,1141.1,7.039747989316981
1,Td00001aa025144_T001,C004-1,Winter,709.8,6.564983241621244
1,Td00001aa025144_T001,C004-2,Winter,848.8,6.743823588477907
1,Td00001aa025144_T001,C004-3,Winter,1119.8,7.02090537780781
1,Td00001aa041349_T002,C002-1,Summer,4895.4,8.496051267867083
1,Td00001aa041349_T002,C002-2,Summer,4858,8.488382109767963
1,Td00001aa041349_T002,C002-3,Summer,5092,8.535425959873685
1,Td00001aa041349_T002,C004-1,Summer,4563.6,8.42586706494134
1,Td00001aa041349_T002,C004-2,Summer,4819,8.480321716847845
1,Td00001aa041349_T002,C004-3,Summer,4827.1,8.482001152454393
1,Td00001aa041349_T002,C002-1,Winter,4759.3,8.467855877797842
1,Td00001aa041349_T002,C002-2,Winter,4982.1,8.513606768081535
1,Td00001aa041349_T002,C002-3,Winter,4056.8,8.30814976472731
1,Td00001aa041349_T002,C004-1,Winter,4293.2,8.364787654840296
1,Td00001aa041349_T002,C004-2,Winter,4151.2,8.331152728294423
1,Td00001aa041349_T002,C004-3,Winter,4497.3,8.411232495908735
1,Td00001aa037076_T001,C002-1,Summer,8451.4,9.042087387219421
1,Td00001aa037076_T001,C002-2,Summer,7386.6,8.907422827017005
1,Td00001aa037076_T001,C002-3,Summer,7130,8.872066513548594
1,Td00001aa037076_T001,C004-1,Summer,6138.3,8.722303110003535
1,Td00001aa037076_T001,C004-2,Summer,5750.4,8.657024696763141
1,Td00001aa037076_T001,C004-3,Summer,6416.7,8.766659245995365
1,Td00001aa037076_T001,C002-1,Winter,5924.3,8.686817815732724
1,Td00001aa037076_T001,C002-2,Winter,6874.8,8.83561783134799
1,Td00001aa037076_T001,C002-3,Winter,4958,8.50875771279683
1,Td00001aa037076_T001,C004-1,Winter,7603.4,8.936350794787579
1,Td00001aa037076_T001,C004-2,Winter,6292.5,8.74711372716839
1,Td00001aa037076_T001,C004-3,Winter,5865.2,8.676791861273422
1,Td00001aa036498_T001,C002-1,Summer,6388.4,8.762239124938688
1,Td00001aa036498_T001,C002-2,Summer,7678.2,8.946140423801845
1,Td00001aa036498_T001,C002-3,Summer,5792.3,8.66428472847696
1,Td00001aa036498_T001,C004-1,Summer,7363.6,8.90430422270821
1,Td00001aa036498_T001,C004-2,Summer,5980.4,8.696242734506985
1,Td00001aa036498_T001,C004-3,Summer,5471.1,8.607234972273675
1,Td00001aa036498_T001,C002-1,Winter,8436.1,9.040275395606168
1,Td00001aa036498_T001,C002-2,Winter,7843.4,8.967427692932176
1,Td00001aa036498_T001,C002-3,Winter,8156.6,9.006582694584411
1,Td00001aa036498_T001,C004-1,Winter,6503.3,8.780065019513053
1,Td00001aa036498_T001,C004-2,Winter,7711.6,8.950480967854988
1,Td00001aa036498_T001,C004-3,Winter,7950.1,8.980939786311405
1,Td00001aa018756_T002,C002-1,Summer,6490.7,8.778125662279372
1,Td00001aa018756_T002,C002-2,Summer,8426.5,9.039136781034747
1,Td00001aa018756_T002,C002-3,Summer,5390,8.592300664088572
1,Td00001aa018756_T002,C004-1,Summer,6520.3,8.782675666285472
1,Td00001aa018756_T002,C004-2,Summer,6947.5,8.846137161760595
1,Td00001aa018756_T002,C004-3,Summer,7909.7,8.975845133493797
1,Td00001aa018756_T002,C002-1,Winter,1952.5,7.576865882226005
1,Td00001aa018756_T002,C002-2,Winter,2247.8,7.717707239529046
1,Td00001aa018756_T002,C002-3,Winter,2055.7,7.62837170201808
1,Td00001aa018756_T002,C004-1,Winter,2839.3,7.9513128222533025
1,Td00001aa018756_T002,C004-2,Winter,1111.3,7.013285781091448
1,Td00001aa018756_T002,C004-3,Winter,2727.9,7.9112873617665596
1,Td00001aa024094_T001,C002-1,Summer,130.4,4.8706066571612645
1,Td00001aa024094_T001,C002-2,Summer,135.3,4.907494542567726
1,Td00001aa024094_T001,C002-3,Summer,120.7,4.7933081363884895
1,Td00001aa024094_T001,C004-1,Summer,130.1,4.8683033932048545
1,Td00001aa024094_T001,C004-2,Summer,115.5,4.749270538619857
1,Td00001aa024094_T001,C004-3,Summer,124.7,4.825910860705237
1,Td00001aa024094_T001,C002-1,Winter,147.1,4.991112634405488
1,Td00001aa024094_T001,C002-2,Winter,130.3,4.869839491805396
1,Td00001aa024094_T001,C002-3,Winter,144.4,4.972587233383933
1,Td00001aa024094_T001,C004-1,Winter,148.1,4.9978877280259475
1,Td00001aa024094_T001,C004-2,Winter,178.2,5.182906520648381
1,Td00001aa024094_T001,C004-3,Winter,155.5,5.046645738050157
1,Td00001aa032375_T001,C002-1,Summer,6282.3,8.745491434609393
1,Td00001aa032375_T001,C002-2,Summer,5653.5,8.640030101552181
1,Td00001aa032375_T001,C002-3,Summer,5882.5,8.679737120771513
1,Td00001aa032375_T001,C004-1,Summer,5923.2,8.686632122548007
1,Td00001aa032375_T001,C004-2,Summer,5644.5,8.638436898878766
1,Td00001aa032375_T001,C004-3,Summer,5854.1,8.674897549613615
1,Td00001aa032375_T001,C002-1,Winter,5813.4,8.66792087679103
1,Td00001aa032375_T001,C002-2,Winter,6086.8,8.71387777121025
1,Td00001aa032375_T001,C002-3,Winter,5969.9,8.694485455995105
1,Td00001aa032375_T001,C004-1,Winter,6298.5,8.748066788951126
1,Td00001aa032375_T001,C004-2,Winter,6139.3,8.722466008290178
1,Td00001aa032375_T001,C004-3,Winter,6260.3,8.741983386428279
1,Td00001aa037535_T001,C002-1,Summer,229.7,5.436774114048557
1,Td00001aa037535_T001,C002-2,Summer,254,5.537334270955545
1,Td00001aa037535_T001,C002-3,Summer,203.4,5.3151744885308805
1,Td00001aa037535_T001,C004-1,Summer,179.1,5.187944314650139
1,Td00001aa037535_T001,C004-2,Summer,235.4,5.461286199074265
1,Td00001aa037535_T001,C004-3,Summer,245.8,5.504518201200283
1,Td00001aa037535_T001,C002-1,Winter,282.5,5.643678554126319
1,Td00001aa037535_T001,C002-2,Winter,330.3,5.8000013354242945
1,Td00001aa037535_T001,C002-3,Winter,306.1,5.723911849218273
1,Td00001aa037535_T001,C004-1,Winter,233.2,5.451896458764502
1,Td00001aa037535_T001,C004-2,Winter,195.8,5.277093735203662
1,Td00001aa037535_T001,C004-3,Winter,240.9,5.484381913771926
1,Td00001aa041214_T001,C002-1,Summer,3501.9,8.161060957612287
1,Td00001aa041214_T001,C002-2,Summer,4272.7,8.360001225128775
1,Td00001aa041214_T001,C002-3,Summer,3176.1,8.063409308332295
1,Td00001aa041214_T001,C004-1,Summer,3641,8.200013648450083
1,Td00001aa041214_T001,C004-2,Summer,4163.8,8.334183398081839
1,Td00001aa041214_T001,C004-3,Summer,4526.7,8.417748476408628
1,Td00001aa041214_T001,C002-1,Winter,4733.4,8.462399039540363
1,Td00001aa041214_T001,C002-2,Winter,5360.9,8.586887150603763
1,Td00001aa041214_T001,C002-3,Winter,5732.3,8.653872125505906
1,Td00001aa041214_T001,C004-1,Winter,4008.8,8.296247223894966
1,Td00001aa041214_T001,C004-2,Winter,3947.2,8.280761746028436
1,Td00001aa041214_T001,C004-3,Winter,3934.2,8.27746283675181
1,Td00001aa029686_T003,C002-1,Summer,3791.6,8.240543372842627
1,Td00001aa029686_T003,C002-2,Summer,3836.1,8.252211504745913
1,Td00001aa029686_T003,C002-3,Summer,3716.5,8.220537644434419
1,Td00001aa029686_T003,C004-1,Summer,3743.3,8.227722854572374
1,Td00001aa029686_T003,C004-2,Summer,2696.6,7.899746999570811
1,Td00001aa029686_T003,C004-3,Summer,3158.6,8.05788417075255
1,Td00001aa029686_T003,C002-1,Winter,8377.9,9.033352565532189
1,Td00001aa029686_T003,C002-2,Winter,6587.5,8.79292919300142
1,Td00001aa029686_T003,C002-3,Winter,10023.8,9.212717544361697
1,Td00001aa029686_T003,C004-1,Winter,6129.2,8.720819514867175
1,Td00001aa029686_T003,C004-2,Winter,5713.9,8.650657081937544
1,Td00001aa029686_T003,C004-3,Winter,9914.6,9.201763697326184
1,Td00001aa015844_T002,C002-1,Summer,4518.3,8.415891096107234
1,Td00001aa015844_T002,C002-2,Summer,4839.1,8.484484032213183
1,Td00001aa015844_T002,C002-3,Summer,4586.5,8.430872485167741
1,Td00001aa015844_T002,C004-1,Summer,5083.9,8.533833962761062
1,Td00001aa015844_T002,C004-2,Summer,5345.7,8.584047778588545
1,Td00001aa015844_T002,C004-3,Summer,4734.8,8.46269476629094
1,Td00001aa015844_T002,C002-1,Winter,4893.2,8.495601765377126
1,Td00001aa015844_T002,C002-2,Winter,4948.5,8.506839779538828
1,Td00001aa015844_T002,C002-3,Winter,4638.6,8.442167875770066
1,Td00001aa015844_T002,C004-1,Winter,4691.2,8.453443692465443
1,Td00001aa015844_T002,C004-2,Winter,5224.1,8.561037813384075
1,Td00001aa015844_T002,C004-3,Winter,3757.1,8.23140266246754
1,Td00001aa032573_T004,C002-1,Summer,15897,9.673885691223777
1,Td00001aa032573_T004,C002-2,Summer,14867.8,9.60695307968556
1,Td00001aa032573_T004,C002-3,Summer,15604.2,9.655295387834844
1,Td00001aa032573_T004,C004-1,Summer,15331.9,9.637690904238111
1,Td00001aa032573_T004,C004-2,Summer,15413.9,9.643024978773102
1,Td00001aa032573_T004,C004-3,Summer,16172.5,9.691067547979975
1,Td00001aa032573_T004,C002-1,Winter,16487,9.710327470621833
1,Td00001aa032573_T004,C002-2,Winter,17534.2,9.771908538550912
1,Td00001aa032573_T004,C002-3,Winter,14502.8,9.582097013283823
1,Td00001aa032573_T004,C004-1,Winter,17599.5,9.775625771588608
1,Td00001aa032573_T004,C004-2,Winter,17896.3,9.792349266607912
1,Td00001aa032573_T004,C004-3,Winter,14829.4,9.604366975850937
1,Td00001aa016178_T001,C002-1,Summer,3468.8,8.151563992093557
1,Td00001aa016178_T001,C002-2,Summer,3537.8,8.171260344292069
1,Td00001aa016178_T001,C002-3,Summer,3665.1,8.206610899350968
1,Td00001aa016178_T001,C004-1,Summer,3642.3,8.20037062949259
1,Td00001aa016178_T001,C004-2,Summer,3638.8,8.199409236222722
1,Td00001aa016178_T001,C004-3,Summer,3517.9,8.165619499936145
1,Td00001aa016178_T001,C002-1,Winter,2936.6,7.985007728869367
1,Td00001aa016178_T001,C002-2,Winter,3196.4,8.06978045581316
1,Td00001aa016178_T001,C002-3,Winter,3463.8,8.150121531583643
1,Td00001aa016178_T001,C004-1,Winter,3147.3,8.054300221723283
1,Td00001aa016178_T001,C004-2,Winter,3058.6,8.02571257424097
1,Td00001aa016178_T001,C004-3,Winter,3388.5,8.128142624871284
1,Td00001aa021209_T001,C002-1,Summer,948.3,6.8546709089442
1,Td00001aa021209_T001,C002-2,Summer,1123.8,7.024471079567936
1,Td00001aa021209_T001,C002-3,Summer,853.2,6.7489939877692535
1,Td00001aa021209_T001,C004-1,Summer,1197.4,7.087907819326395
1,Td00001aa021209_T001,C004-2,Summer,1031.4,6.9386723825864145
1,Td00001aa021209_T001,C004-3,Summer,965,6.872128102375255
1,Td00001aa021209_T001,C002-1,Winter,1162.2,7.058070040501442
1,Td00001aa021209_T001,C002-2,Winter,1199.3,7.089493333071495
1,Td00001aa021209_T001,C002-3,Winter,1059.3,6.9653635925464705
1,Td00001aa021209_T001,C004-1,Winter,1044.7,6.951485042800675
1,Td00001aa021209_T001,C004-2,Winter,1397.4,7.242368646833965
1,Td00001aa021209_T001,C004-3,Winter,1319.6,7.185083940112232
1,Td00001aa021495_T002,C002-1,Summer,9121.5,9.118389543337905
1,Td00001aa021495_T002,C002-2,Summer,8804,9.082961442759936
1,Td00001aa021495_T002,C002-3,Summer,9279.6,9.135573721510754
1,Td00001aa021495_T002,C004-1,Summer,9516.9,9.160824444609343
1,Td00001aa021495_T002,C004-2,Summer,9624.1,9.17202564839438
1,Td00001aa021495_T002,C004-3,Summer,9444,9.153134898311292
1,Td00001aa021495_T002,C002-1,Winter,8562.3,9.055124124750243
