protein_id,go_id,Term,PPV
PvWBCH1.9NG055800.1.v1.1,GO:0006749,glutathione metabolic process,0.730161741119
PvWBCH1.9NG181900.1.v1.1,GO:0009737,response to abscisic acid,0.807352048588
PvWBCH1.9NG286200.1.v1.1,GO:0009651,response to salt stress,0.543612486598
PvWBCH1.9NG341500.1.v1.1,GO:0006457,protein folding,0.667353413218
PvWBCH1.9NG371600.1.v1.1,GO:0006096,glycolytic process,0.703679184112
PvWBCH1.9NG442300.1.v1.1,GO:0006457,protein folding,0.67628748466
PvWBCH1.9NG449100.1.v1.1,GO:0009408,response to heat,0.726058559188
PvWBCH1.9NG479100.4.v1.1,GO:0009414,response to water deprivation,0.825069273452
PvWBCH1.9NG497900.1.v1.1,GO:0005982,starch metabolic process,0.372766146364
PvWBCH1.9NG503500.1.v1.1,GO:0000272,polysaccharide catabolic process,0.697243274479
PvWBCH1.9NG518000.1.v1.1,GO:0006457,protein folding,0.676287536119
Sn00001aa000144_T001,GO:0000162,tryptophan biosynthetic process,0.730867710321
Sn00001aa001175_T001,GO:0006096,glycolytic process,0.703685512569
Sn00001aa001519_T001,GO:0034605,cellular response to heat,0.748594585708
Sn00001aa004579_T001,GO:0009737,response to abscisic acid,0.807294229562
Sn00001aa005515_T001,GO:0006749,glutathione metabolic process,0.72943904925
Sn00001aa007068_T001,GO:0006090,pyruvate metabolic process,0.659334018957
Sn00001aa007255_T001,GO:0006749,glutathione metabolic process,0.730638987866
Sn00001aa010461_T001,GO:0006096,glycolytic process,0.705608069721
Sn00001aa011441_T001,GO:0000162,tryptophan biosynthetic process,0.730867596498
Sn00001aa014328_T001,GO:0005982,starch metabolic process,0.535943020122
Sn00001aa014825_T001,GO:0006457,protein folding,0.676287481001
Sn00001aa030610_T001,GO:0006002,fructose 6-phosphate metabolic process,0.752367032691
Sn00001aa041377_T001,GO:0006457,protein folding,0.590369258006
Sn00001aa045518_T001,GO:0006457,protein folding,0.454322375376
Sn00001aa050399_T001,GO:0000272,polysaccharide catabolic process,0.666599558752
Sn00001aa051893_T001,GO:0050832,defense response to fungus,0.798769843647
Sn00001aa053959_T001,GO:0009408,response to heat,0.485186154663
Sn00001aa060716_T002,GO:0000162,tryptophan biosynthetic process,0.73094403291
Sn00001aa062552_T001,GO:0000272,polysaccharide catabolic process,0.660151933909
Sn00001aa065278_T001,GO:0009737,response to abscisic acid,0.357856419506
Sn00001aa067886_T001,GO:0050832,defense response to fungus,0.799238170991
Sn00001aa069832_T001,GO:0034605,cellular response to heat,0.74774820813
Sn00001aa080797_T001,GO:0000162,tryptophan biosynthetic process,0.380681747245
Sn00001aa086694_T001,GO:0019252,starch biosynthetic process,0.825565761558
Sn00001aa088201_T001,GO:0009414,response to water deprivation,0.445658827442
Sn00001aa089776_T001,GO:0000162,tryptophan biosynthetic process,0.730940596234
Sn00001aa092320_T001,GO:0006749,glutathione metabolic process,0.729899648905
Sn00001aa099345_T002,GO:0010608,post-transcriptional regulation of gene ...,0.658081463734
Sn00001aa100959_T001,GO:0019252,starch biosynthetic process,0.830589307648
Td00001aa000236_T001,GO:0009409,response to cold,0.383767491086
Td00001aa001511_T001,GO:0006749,glutathione metabolic process,0.730642628749
Td00001aa002372_T002,GO:0019252,starch biosynthetic process,0.830589597415
Td00001aa002742_T001,GO:0050832,defense response to fungus,0.576344685214
Td00001aa003426_T001,GO:0006457,protein folding,0.675731046116
Td00001aa003480_T001,GO:0009409,response to cold,0.416512122679
Td00001aa004040_T001,GO:0009631,cold acclimation,0.822388613811
Td00001aa004721_T002,GO:0005982,starch metabolic process,0.812789340241
Td00001aa005038_T001,GO:0009631,cold acclimation,0.851698991499
Td00001aa006961_T001,GO:0009409,response to cold,0.539640893752
Td00001aa008985_T001,GO:0006457,protein folding,0.448289240379
Td00001aa009381_T001,GO:0009408,response to heat,0.726002915579
Td00001aa009874_T001,GO:0009409,response to cold,0.539695057491
Td00001aa010483_T001,GO:0006090,pyruvate metabolic process,0.670554495723
Td00001aa010483_T002,GO:0006090,pyruvate metabolic process,0.668957691944
Td00001aa010744_T002,GO:0006096,glycolytic process,0.703654750738
Td00001aa011129_T003,GO:0009651,response to salt stress,0.446390367982
Td00001aa012305_T002,GO:0009414,response to water deprivation,0.445683665118
Td00001aa012719_T001,GO:0000272,polysaccharide catabolic process,0.705267956634
Td00001aa012809_T001,GO:0006002,fructose 6-phosphate metabolic process,0.753879410504
Td00001aa012926_T001,GO:0006457,protein folding,0.676054090441
Td00001aa013725_T006,GO:0005982,starch metabolic process,0.375113436449
Td00001aa014362_T001,GO:0009408,response to heat,0.726056829141
Td00001aa014480_T001,GO:0006457,protein folding,0.573657282372
Td00001aa014878_T002,GO:0005982,starch metabolic process,0.535632107805
Td00001aa017178_T001,GO:0009631,cold acclimation,0.796125693911
Td00001aa017178_T002,GO:0009631,cold acclimation,0.796125693911
Td00001aa018793_T002,GO:0034605,cellular response to heat,0.748601560705
Td00001aa018860_T001,GO:0006749,glutathione metabolic process,0.725705019119
Td00001aa019065_T001,GO:0006457,protein folding,0.460607057486
Td00001aa019280_T001,GO:0006457,protein folding,0.676287956874
Td00001aa019475_T001,GO:0009737,response to abscisic acid,0.466126510186
Td00001aa019508_T001,GO:0006457,protein folding,0.676287492806
Td00001aa020796_T002,GO:0019252,starch biosynthetic process,0.828069401288
Td00001aa021055_T002,GO:0009409,response to cold,0.405145694471
Td00001aa021652_T001,GO:0006081,cellular aldehyde metabolic process,0.34364167485
Td00001aa022594_T002,GO:0009631,cold acclimation,0.553760941814
Td00001aa022640_T001,GO:0034605,cellular response to heat,0.691181693058
Td00001aa023611_T003,GO:0009651,response to salt stress,0.405855203566
Td00001aa024450_T001,GO:0006749,glutathione metabolic process,0.727045528404
Td00001aa024451_T001,GO:0006749,glutathione metabolic process,0.730641439784
Td00001aa026443_T002,GO:0010608,post-transcriptional regulation of gene ...,0.693502965372
Td00001aa028586_T001,GO:0009414,response to water deprivation,0.411878972016
Td00001aa029174_T001,GO:0000272,polysaccharide catabolic process,0.705267979074
Td00001aa029258_T001,GO:0009651,response to salt stress,0.380585718578
Td00001aa029363_T001,GO:0000162,tryptophan biosynthetic process,0.730941551725
Td00001aa029496_T001,GO:0006457,protein folding,0.676121533527
Td00001aa029686_T003,GO:0005982,starch metabolic process,0.821522702346
Td00001aa030923_T003,GO:0009737,response to abscisic acid,0.357271096543
Td00001aa031767_T001,GO:0006457,protein folding,0.37035555706
Td00001aa033192_T001,GO:0006457,protein folding,0.515547298848
Td00001aa033307_T001,GO:0006457,protein folding,0.59011268829
Td00001aa033308_T001,GO:0006457,protein folding,0.570034493288
Td00001aa033621_T001,GO:0006457,protein folding,0.482973427133
Td00001aa033955_T003,GO:0006081,cellular aldehyde metabolic process,0.699127336411
Td00001aa036507_T001,GO:0009408,response to heat,0.7261067208
Td00001aa037279_T002,GO:0019252,starch biosynthetic process,0.830589551045
Td00001aa038053_T001,GO:0019252,starch biosynthetic process,0.830586830397
Td00001aa041578_T002,GO:0006457,protein folding,0.676287690487
