"protein_id","Checked","Master","Description","Coverage","Peptides","PSMs","AAs","Modifications","Abundance_Ratio_Winter_Summer","pval_Winter_Summer","adj_pval_Winter_Summer","Abundance_Grouped_Summer","Abundance_Grouped_Winter","Abundance_Grouped_CV_Summer","Abundance_Grouped_CV_Winter","Abundance_Ag-1_Summer","Abundance_Ag-2_Summer","Abundance_Ag-3_Summer","Abundance_Ag-1_Winter","Abundance_Ag-2_Winter","Abundance_Ag-3_Winter","Abundances_Normalized_Ag-1_Summer","Abundances_Normalized_Ag-2_Summer","Abundances_Normalized_Ag-3_Summer","Abundances_Normalized_Ag-1_Winter","Abundances_Normalized_Ag-2_Winter","Abundances_Normalized_Ag-3_Winter","Found_in_Sample_S3_Ag-1_Summer","Found_in_Sample_S6_Ag-2_Summer","Found_in_Sample_S9_Ag-3_Summer","Found_in_Sample_S2_Ag-1_Winter","Found_in_Sample_S5_Ag-2_Winter","Found_in_Sample_S8_Ag-3_Winter"
"Ag00001aa115120_T001",TRUE,"Master Protein","Ag00001aa115120_T001",70,33,192,621,NA,0.755,0.0051374169427737,0.0536254453114337,99.2,74.8,16.66,5.49,4537.6,7722.7,9173.3,2063.8,3365.1,3200,7088.9,7722.7,9698.7,6086.9,5454.4,5828.2,"High","High","High","High","High","High"
"Ag00001aa094012_T001",TRUE,"Master Protein","Ag00001aa094012_T001",35,27,307,986,NA,1.093,0.112800082408243,0.410822735154874,93,101.6,3.1,4.35,7450.5,11006.5,10470.6,4103.6,7264.3,7035.8,11639.6,11006.5,11070.3,12103.1,11774.4,12814.4,"High","High","High","High","High","High"
"Ag00001aa016826_T001",TRUE,"Master Protein","Ag00001aa016826_T001",41,27,279,843,NA,0.551,0.9999648860326,1,59.3,32.7,45.82,73.99,9.3,31.5,38.4,18.2,10.7,8.7,14.5,31.5,40.6,53.7,17.3,15.8,"High","High","High","High","High","High"
"Ag00001aa041819_T003",TRUE,"Master Protein","Ag00001aa041819_T003",71,32,190,576,NA,1.242,0.998687518265857,1,78.1,97,25.51,14.51,3621.2,6048.4,8383.5,2666.7,4635.7,3256.4,5657.3,6048.4,8863.6,7865.1,7513.8,5930.9,"High","High","High","High","High","High"
"Ag00001aa091179_T001",TRUE,"Master Protein","Ag00001aa091179_T001",63,31,193,621,NA,0.766,0.00338594789361524,0.044577306307096,102,78.1,14.03,7.2,699.5,1092.3,1306.7,292.6,463.1,459.5,1092.8,1092.3,1381.5,863,750.6,836.9,"High","High","High","High","High","High"
"Ag00001aa108841_T001",TRUE,"Master Protein","Ag00001aa108841_T001",71,23,183,501,NA,0.768,0.0128689493638815,0.0976109198189188,116.6,89.5,11.51,5.38,4573.4,7665,8433.4,2097.6,3426.9,3233.2,7144.8,7665,8916.4,6186.6,5554.5,5888.7,"High","High","High","High","High","High"
"Ag00001aa117364_T001",TRUE,"Master Protein","Ag00001aa117364_T001",36,26,300,985,NA,1.176,0.410233902459012,0.940722991369547,120.8,142,6.36,2.35,138.8,244,209.7,85.9,163.8,143.1,216.8,244,221.7,253.4,265.5,260.6,"High","High","High","High","High","High"
"Ag00001aa120810_T003",TRUE,"Master Protein","Ag00001aa120810_T003",69,30,190,576,NA,1.254,0.827646566583572,1,70.8,88.8,21.89,11.94,293.7,488.8,640.9,234.6,378.2,299.1,458.8,488.8,677.6,691.9,613,544.8,"High","High","High","High","High","High"
"Ag00001aa089238_T001",TRUE,"Master Protein","Ag00001aa089238_T001",59,33,269,687,NA,1.197,0.291389596774429,0.775603880061329,88.6,106.1,1.39,9.03,6046.4,9669.1,8924.4,3869.1,6976.1,5311.1,9446,9669.1,9435.5,11411.4,11307.3,9673.2,"High","High","High","High","High","High"
"Ag00001aa115646_T001",TRUE,"Master Protein","Ag00001aa115646_T001",61,33,269,663,NA,1.125,0.999840856339149,1,15.3,17.3,18.92,27.96,5.1,5.6,5.8,0,5.2,3.1,8,5.6,6.1,0,8.4,5.6,"High","High","High","High","High","High"
"Ag00001aa146814_T001",TRUE,"Master Protein","Ag00001aa146814_T001",38,45,153,1681,NA,0.892,0.560710999625541,1,94.5,84.3,8.05,0.83,5020.2,7103.2,6334.5,2170.2,3884.6,3477.7,7842.9,7103.2,6697.3,6400.7,6296.4,6334,"High","High","High","High","High","High"
"Ag00001aa121176_T001",TRUE,"Master Protein","Ag00001aa121176_T001",57,31,231,690,NA,1.283,0.192047882523228,0.587500002810985,91.9,118,11.13,12.72,4312.2,7145.1,7873,3308.6,5656.1,4164,6736.8,7145.1,8323.9,9758.3,9167.8,7584,"High","High","High","High","High","High"
"Ag00001aa150634_T001",TRUE,"Master Protein","Ag00001aa150634_T001",67,22,395,355,NA,1.292,0.956657570843987,1,93.5,120.9,7.57,31.18,65.6,117.6,98.9,57,53.9,74.2,102.5,117.6,104.6,168.1,87.4,135.1,"High","High","High","High","High","High"
"Ag00001aa032124_T001",TRUE,"Master Protein","Ag00001aa032124_T001",67,22,394,355,NA,1.31,0.125369745041324,0.441147640409643,93.5,122.4,4.37,14.55,8728.1,14318.1,12414.1,6055.4,10368.2,12081.2,13635.6,14318.1,13125.1,17859.6,16805.4,22003.7,"High","High","High","High","High","High"
"Ag00001aa032691_T001",TRUE,"Master Protein","Ag00001aa032691_T001",63,29,223,559,"Met-loss+Acetyl [N-Term]",1.669,0.000133082851533683,0.00766538030191969,77.3,129,5.99,4.82,966.2,1659.2,1408,854.2,1634.2,1320.9,1509.5,1659.2,1488.6,2519.4,2648.8,2405.8,"High","High","High","High","High","High"
"Ag00001aa028912_T001",TRUE,"Master Protein","Ag00001aa028912_T001",48,28,146,810,NA,0.956,0.999939648930327,1,95.5,91.4,6.91,3.84,3219,4760,4142.1,1543.5,2982.6,2474.2,5028.9,4760,4379.3,4552.4,4834.4,4506.3,"High","High","High","High","High","High"
"Ag00001aa100834_T001",TRUE,"Master Protein","Ag00001aa100834_T001",67,31,181,621,NA,0.742,0.249138675305689,0.69926341794537,176.7,131.1,11.08,8.94,99.6,124.5,134.5,38.5,65.1,52.1,155.6,124.5,142.2,113.6,105.5,94.9,"High","High","High","High","High","High"
"Ag00001aa051015_T001",TRUE,"Master Protein","Ag00001aa051015_T001",54,32,294,704,"Met-loss+Acetyl [N-Term]",0.269,0.305889947326349,0.795121395952121,158.6,42.7,36.89,18.09,9873.9,16738.4,7258.9,1175.3,2564.2,2737.1,15425.6,16738.4,7674.6,3466.4,4156.2,4985.1,"High","High","High","High","High","High"
"Ag00001aa064784_T001",TRUE,"Master Protein","Ag00001aa064784_T001",45,33,184,913,NA,1.37,0.743061709304049,1,87.2,119.5,11.81,6.35,5167.5,6386.6,7171.9,3196.7,6411,5849.2,8073,6386.6,7582.7,9428.3,10391.4,10653.3,"High","High","High","High","High","High"
"Ag00001aa126130_T002",TRUE,"Master Protein","Ag00001aa126130_T002",37,43,149,1703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High","High","High","High","High","High"
"Ag00001aa100893_T001",TRUE,"Master Protein","Ag00001aa100893_T001",74,23,280,402,NA,1.095,0.994188818777461,1,89.8,98.4,11.53,9.08,1433.9,1939.9,1692.4,623.7,1350.9,1166.4,2240.1,1939.9,1789.3,1839.5,2189.6,2124.4,"High","High","High","High","High","High"
"Ag00001aa069417_T001",TRUE,"Master Protein","Ag00001aa069417_T001",45,32,184,913,NA,1.172,0.95292984467024,1,102.4,120,14.65,13.75,125.7,149.6,183.6,73.6,140.4,153.2,196.4,149.6,194.1,217.1,227.6,279,"High","High","High","High","High","High"
"Ag00001aa016342_T002",TRUE,"Master Protein","Ag00001aa016342_T002",65,30,202,559,"Met-loss+Acetyl [N-Term]",1.406,0.000822611021848441,0.0191227458398525,90.6,127.4,9.02,2.61,5787.9,8749.6,7187.1,4171.5,7814.9,6602.7,9042.2,8749.6,7598.7,12303.3,12666.9,12025.6,"High","High","High","High","High","High"
"Ag00001aa060000_T002",TRUE,"Master Protein","Ag00001aa060000_T002",53,31,290,704,"Met-loss+Acetyl [N-Term]",0.236,0.236720309190413,0.676371968579953,140.6,33.2,39.94,21.31,546.7,1055.1,417.4,57.7,124.3,141.9,854.1,1055.1,441.3,170.2,201.5,258.4,"High","High","High","High","High","High"
"Ag00001aa030108_T001",TRUE,"Master Protein","Ag00001aa030108_T001",51,30,286,704,"Met-loss+Acetyl [N-Term]",0.19,0.080774244563833,0.334676063287913,229.6,43.5,39.76,41.69,169.7,298.5,119.3,9.8,31,38.7,265.1,298.5,126.1,28.9,50.2,70.5,"High","High","High","High","High","High"
"Ag00001aa011817_T001",TRUE,"Master Protein","Ag00001aa011817_T001",54,37,216,699,NA,1.035,0.999347179087618,1,69.4,71.8,11.55,19.58,52.9,77.3,91.2,29,67.4,41.1,82.6,77.3,96.4,85.5,109.2,74.9,"High","High","High","High","High","High"
"Ag00001aa092319_T001",TRUE,"Master Protein","Ag00001aa092319_T001",35,26,261,982,NA,1.217,0.022624220004352,0.145412804593423,81.1,98.8,3.18,6.13,431.5,718.3,656,287.1,468.2,463.6,674.1,718.3,693.6,846.8,758.9,844.4,"High","High","High","High","High","High"
"Ag00001aa094017_T001",TRUE,"Master Protein","Ag00001aa094017_T001",45,25,228,622,NA,0.578,0.0528810861307578,0.256028228890501,220.1,127.1,57.71,4.45,9301,19261.3,39460.4,3866.5,6862.7,5738.9,14530.6,19261.3,41720.4,11403.8,11123.5,10452.4,"High","High","High","High","High","High"
"Ag00001aa116053_T004",TRUE,"Master Protein","Ag00001aa116053_T004",35,35,149,1064,NA,0.673,0.105927255311773,0.392594426067348,108.6,73.1,12.59,11.4,4978.7,6893,5713,1524.5,2861.8,3033.3,7778,6893,6040.2,4496.3,4638.6,5524.6,"High","High","High","High","High","High"
"Ag00001aa021426_T002",TRUE,"Master Protein","Ag00001aa021426_T002",43,26,138,810,NA,1.218,0.275770137032441,0.749175538938131,100,121.8,5.65,11.6,243.7,360.3,321.6,135.3,309.6,241,380.7,360.3,340,399.1,501.8,438.9,"High","High","High","High","High","High"
"Ag00001aa047327_T002",TRUE,"Master Protein","Ag00001aa047327_T002",56,22,197,494,"Met-loss+Acetyl [N-Term]",0.908,0.992418359016203,1,70.2,63.7,11.38,14.54,269.7,475.9,358.8,129.7,221.1,258,421.3,475.9,379.3,382.5,358.4,469.9,"High","High","High","High","High","High"
"Ag00001aa002578_T001",TRUE,"Master Protein","Ag00001aa002578_T001",54,37,213,699,NA,1.08,0.447072784883038,0.989681356114419,85.6,92.4,2.6,3.93,5057.9,7806.5,7108.2,2858.6,5250.5,4343.6,7901.8,7806.5,7515.3,8431.1,8510.3,7911.1,"Not Found","Not Found","Not Found","Not Found","Not Found","Not Found"
"Ag00001aa091217_T001",TRUE,"Master Protein","Ag00001aa091217_T001",83,27,315,401,NA,1.677,0.011715566659537,0.0916775613093292,89.4,149.9,8.68,16.48,11869.2,16106.9,15060.1,8754.2,16662.5,19039.5,18542.8,16106.9,15922.6,25819.4,27007.7,34677,"High","High","High","High","High","High"
"Ag00001aa002576_T001",TRUE,"Master Protein","Ag00001aa002576_T001",53,36,209,699,NA,1.431,0.423569448496725,0.956654496694318,135.8,194.2,6.91,27.02,21.8,39.1,35.1,18,40.3,20.5,34.1,39.1,37.1,53.1,65.3,37.3,"High","High","High","High","High","High"
"Ag00001aa028848_T003",TRUE,"Master Protein","Ag00001aa028848_T003",59,28,165,576,NA,1.262,0.98104292286421,1,45.8,57.8,22.67,8.78,56,78.2,112.8,38.5,68.1,52.7,87.5,78.2,119.3,113.6,110.4,96,"High","High","High","High","High","High"
"Ag00001aa157433_T001",TRUE,"Master Protein","Ag00001aa157433_T001",44,17,278,508,NA,0.841,0.173086915148144,0.546277077695557,107.8,90.6,15.71,13.04,8304.4,13801.2,16384.6,4287.8,7162.6,5343.6,12973.6,13801.2,17323,12646.3,11609.6,9732.4,"High","High","High","High","High","High"
"Ag00001aa115155_T001",TRUE,"Master Protein","Ag00001aa115155_T001",79,24,264,402,NA,1.154,0.49296482033708,1,82.6,95.3,9.66,8.56,4404.2,6214.1,5366.9,2110.1,4425,4012.6,6880.5,6214.1,5674.3,6223.5,7172.3,7308.2,"High","High","High","High","High","High"
"Ag00001aa010398_T002",TRUE,"Master Protein","Ag00001aa010398_T002",43,24,124,810,NA,1.298,0.248586995932454,0.698949367310445,121.4,157.5,16.56,7.13,191.3,244.3,204.7,97.3,203.8,174.1,298.9,244.3,216.4,287,330.3,317.1,"High","High","High","High","High","High"
"Ag00001aa010152_T001",TRUE,"Master Protein","Ag00001aa010152_T001",41,30,160,861,NA,2.367,0.435031633530756,0.974823994298181,36.3,85.8,17.64,1.9,3138.9,3777.7,3370.7,2988.3,5517.4,5024.4,4903.8,3777.7,3563.8,8813.6,8943,9151,"High","High","High","High","High","High"
"Ag00001aa008719_T001",TRUE,"Master Protein","Ag00001aa008719_T001",43,29,220,816,NA,0.285,0.109672764793268,0.401842584842181,97.7,27.9,50.8,15.4,7013,8431.3,3200,633.8,1484.8,1385.8,10956.1,8431.3,3383.3,1869.3,2406.7,2524,"High","High","High","High","High","High"
"Ag00001aa004825_T001",TRUE,"Master Protein","Ag00001aa004825_T001",61,6,815,180,NA,2.092,0.000825628250097687,0.0191227458398525,81.4,170.3,19.79,29.2,2271.7,3282.2,2258.7,2328,5403.6,2628.3,3549,3282.2,2388.1,6866.1,8758.5,4787,"High","High","High","High","High","High"
"Ag00001aa088892_T001",TRUE,"Master Protein","Ag00001aa088892_T001",47,19,123,548,NA,0.761,0.178482052822804,0.558887672201675,160.4,122.1,6.69,5.97,4306,7651.2,7050.2,1865.5,3500,3385.8,6727.1,7651.2,7454,5502.1,5673,6166.6,"High","High","High","High","High","High"
"Ag00001aa102214_T001",TRUE,"Master Protein","Ag00001aa102214_T001",72,22,292,351,NA,1.355,0.198794825575897,0.598708247313232,68,92.1,8.76,13.78,6155.4,9346.7,10383.2,4416.7,8943.8,6026.8,9616.3,9346.7,10977.9,13026.5,14496.7,10976.7,"High","High","High","High","High","High"
"Ag00001aa058586_T001",TRUE,"Master Protein","Ag00001aa058586_T001",69,18,263,337,NA,1.408,0.717928636084342,1,157,221,2.37,27.26,137.7,225,211,106.5,145.9,225.6,215.1,225,223.1,314.1,236.5,410.9,"High","High","High","High","High","High"
"Ag00001aa113751_T001",TRUE,"Master Protein","Ag00001aa113751_T001",77,25,290,401,NA,1.578,0.0447738256676271,0.228298660720295,107.6,169.8,6.72,18.35,611.6,934.9,795.2,500.3,755.2,972,955.5,934.9,840.7,1475.6,1224.1,1770.3,"High","High","High","High","High","High"
"Ag00001aa085718_T001",TRUE,"Master Protein","Ag00001aa085718_T001",40,23,147,807,NA,1.094,0.455058121895127,1,102,111.6,7.36,6.79,4605.2,7708.5,6290.4,2669.1,4447.3,4530.7,7194.5,7708.5,6650.7,7872.2,7208.5,8251.9,"High","High","High","High","High","High"
"Ag00001aa012289_T002",TRUE,"Master Protein","Ag00001aa012289_T002",61,22,197,476,NA,0.9,0.0896618215372388,0.356874901304614,74.9,67.4,2.43,1.75,668.4,1022.9,1015.5,320.9,579.7,502.6,1044.2,1022.9,1073.7,946.5,939.6,915.4,"High","High","High","High","High","High"
"Ag00001aa085222_T002",TRUE,"Master Protein","Ag00001aa085222_T002",46,18,124,548,NA,0.747,0.700946834848636,1,104.5,78.1,15.59,7.21,151,299,304.4,74.6,137.8,137.5,235.9,299,321.8,220,223.4,250.4,"High","High","High","High","High","High"
"Ag00001aa042534_T001",TRUE,"Master Protein","Ag00001aa042534_T001",41,31,122,951,"Met-loss [N-Term]",0.504,0.000141551465995371,0.00798050512168255,140.2,70.7,15.35,11.71,5112.8,7934.7,5691.1,1356.7,2239.5,2512.5,7987.5,7934.7,6017,4001.4,3629.9,4576.1,"High","High","High","High","High","High"
"Ag00001aa003058_T003",TRUE,"Master Protein","Ag00001aa003058_T003",66,23,252,476,NA,0.902,0.388481161889135,0.909733885850817,84.1,75.9,2.61,6.09,6735.7,9989.3,9734.1,3362.7,5730.3,4822.5,10522.9,9989.3,10291.6,9917.9,9288,8783.3,"High","High","High","High","High","High"
"Ag00001aa029947_T001",TRUE,"Master Protein","Ag00001aa029947_T001",69,18,250,337,NA,1.159,0.876064950988659,1,123.6,143.3,6.2,26.15,3975.5,5999.5,5200.1,2358.6,3581.3,5274.8,6210.8,5999.5,5497.9,6956.4,5804.8,9607.1,"High","High","High","High","High","High"
"Ag00001aa050348_T001",TRUE,"Master Protein","Ag00001aa050348_T001",69,21,236,358,NA,1.288,0.0667860737112439,0.295687566924448,86.6,111.6,5.86,11.84,2766.5,4318.3,3684.7,1885.5,3168.6,3547.9,4322,4318.3,3895.7,5561,5135.9,6461.9,"High","High","High","High","High","High"
"Ag00001aa040663_T001",TRUE,"Master Protein","Ag00001aa040663_T001",56,24,157,582,"Met-loss [N-Term]",1.136,0.11568156730921,0.416935608621671,85.2,96.8,2.66,2.08,575.6,904.8,814.7,349.5,630.1,543.8,899.2,904.8,861.4,1030.8,1021.3,990.4,"High","High","High","High","High","High"
"Ag00001aa143632_T001",TRUE,"Master Protein","Ag00001aa143632_T001",73,15,227,319,NA,1,0.936613370384558,1,109.2,109.2,7.27,4.13,6504.2,10168,8452.7,3444.5,6177.2,5936.8,10161.3,10168,8936.8,10159.1,10012.4,10812.8,"High","High","High","High","High","High"
"Ag00001aa153409_T001",TRUE,"Master Protein","Ag00001aa153409_T001",29,33,118,1621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not Found","Not Found","Not Found","Not Found","Not Found","Not Found"
