"protein_id","Checked","Master","Description","Coverage","Peptides","PSMs","AAs","Modifications","Abundance_Ratio_Winter_Summer","pval_Winter_Summer","adj_pval_Winter_Summer","Abundance_Grouped_Summer","Abundance_Grouped_Winter","Abundance_Grouped_CV_Summer","Abundance_Grouped_CV_Winter","Abundance_Mg-1_Summer","Abundance_Mg-2_Summer","Abundance_Mg-3_Summer","Abundance_Mg-1_Winter","Abundance_Mg-2_Winter","Abundance_Mg-3_Winter","Abundances_Normalized_Mg-1_Summer","Abundances_Normalized_Mg-2_Summer","Abundances_Normalized_Mg-3_Summer","Abundances_Normalized_Mg-1_Winter","Abundances_Normalized_Mg-2_Winter","Abundances_Normalized_Mg-3_Winter","Found_in_Sample_S12_Mg-1_Summer","Found_in_Sample_S15_Mg-2_Summer","Found_in_Sample_S18_Mg-3_Summer","Found_in_Sample_S11_Mg-1_Winter","Found_in_Sample_S14_Mg-2_Winter","Found_in_Sample_S17_Mg-3_Winter"
"Ag00001aa028041_T002",TRUE,"Master Protein","Ag00001aa028041_T002",55,35,476,765,NA,0.687,0.628820162096596,1,173.7,119.2,2.65,9.98,5383.5,4513.1,4555.5,3505.9,4144.6,3457.4,9699.6,9548.5,9208.4,5906.3,6556.4,7215.8,"High","High","High","High","High","High"
"Ag00001aa033498_T001",TRUE,"Master Protein","Ag00001aa033498_T001",63,23,444,554,NA,0.979,0.943370316926851,1,73.7,72.2,15.39,16.68,16.4,13.2,10.8,21.3,17.1,13.1,29.5,27.9,21.8,35.9,27.1,27.3,"High","High","High","High","High","High"
"Ag00001aa104405_T001",TRUE,"Master Protein","Ag00001aa104405_T001",65,30,401,649,NA,1.531,0.127325917797528,0.368496913140102,88,134.7,7.73,2.44,742.3,546.7,591.7,1086.8,1121.7,892.3,1337.4,1156.7,1196,1830.9,1774.4,1862.3,"High","High","High","High","High","High"
"Ag00001aa022279_T001",TRUE,"Master Protein","Ag00001aa022279_T001",65,29,350,658,NA,1.022,0.96065731597158,1,27.3,27.9,35.02,6.74,5.4,2.3,4.9,5.9,5.6,4.8,9.7,4.9,9.9,9.9,8.9,10,"High","High","High","High","High","High"
"Ag00001aa019394_T001",TRUE,"Master Protein","Ag00001aa019394_T001",63,30,351,658,NA,2.107,0.0475913710105356,0.176809259325323,36.8,77.5,7.72,5.38,946.6,690.5,784.2,1982.7,2009.5,1695.8,1705.5,1460.9,1585.2,3340.2,3178.8,3539.2,"High","High","High","High","High","High"
"Ag00001aa107870_T003",TRUE,"Master Protein","Ag00001aa107870_T003",75,21,625,337,NA,1.442,0.000756365235637046,0.00919832742685951,83.7,120.7,7.48,4.51,14060.8,12399.6,11217.7,21838.3,21416.2,17505.3,25333.7,26234.2,22675.2,36790.3,33878.4,36534.4,"High","High","High","High","High","High"
"Ag00001aa102535_T001",TRUE,"Master Protein","Ag00001aa102535_T001",61,29,314,656,NA,2.967,0.0434789688494933,0.166967085789677,22.3,66.3,7.85,8.25,148.5,117.3,113.1,491.4,465.5,339.4,267.6,248.2,228.6,827.8,736.4,708.3,"High","High","High","High","High","High"
"Ag00001aa117824_T003",TRUE,"Master Protein","Ag00001aa117824_T003",73,20,605,337,NA,1.18,0.466892508310614,0.921388514886692,36.4,42.9,3.72,17.91,274.3,233.2,228.9,403.5,368.1,226.5,494.2,493.4,462.7,679.8,582.3,472.7,"High","High","High","High","High","High"
"Ag00001aa070570_T002",TRUE,"Master Protein","Ag00001aa070570_T002",50,30,420,765,NA,0.642,0.26736230360861,0.619083725356015,184.6,118.4,2.82,7.18,751.3,613,677.1,515.5,574.4,377.6,1353.6,1296.9,1368.7,868.4,908.6,788.1,"High","High","High","High","High","High"
"Ag00001aa114201_T003",TRUE,"Master Protein","Ag00001aa114201_T003",76,21,544,337,NA,1.653,6.17828077495997e-05,0.00171129247779789,74.6,123.3,11.98,6.23,620.7,608.8,503.4,1097,1103.1,946.7,1118.3,1288.1,1017.6,1848.1,1745,1975.8,"High","High","High","High","High","High"
"Ag00001aa009508_T001",TRUE,"Master Protein","Ag00001aa009508_T001",48,24,266,665,NA,5.823,0.0557725350689723,0.198591014466424,45.5,264.9,23.7,8.58,16.2,11.2,8.9,81.9,77.1,69.2,29.2,23.7,18,138,122,144.4,"High","High","High","High","High","High"
"Ag00001aa034482_T001",TRUE,"Master Protein","Ag00001aa034482_T001",52,34,245,698,NA,0.995,0.99005194127151,1,121.1,120.5,10.24,5.85,2109.8,1581,2032.4,2244.3,2309.7,1960.2,3801.3,3345,4108.2,3780.9,3653.7,4091,"High","High","High","High","High","High"
"Ag00001aa009517_T001",TRUE,"Master Protein","Ag00001aa009517_T001",59,26,290,649,NA,1.285,0.431412839793906,0.868656567775599,36.5,46.9,4.35,13.74,98.1,77,86.4,133.2,140.4,134.6,176.7,162.9,174.6,224.4,222.1,280.9,"High","High","High","High","High","High"
"Ag00001aa072751_T001",TRUE,"Master Protein","Ag00001aa072751_T001",46,35,282,825,NA,0.856,0.976406213035715,1,119.5,102.3,6.26,6.38,9743.3,7533.6,8890.8,9617.3,9029.5,7198.4,17554.7,15939.1,17971.7,16201.9,14283.8,15023.4,"High","High","High","High","High","High"
"Ag00001aa086826_T001",TRUE,"Master Protein","Ag00001aa086826_T001",46,34,280,802,NA,1.206,0.890849053508702,1,52.7,63.6,6.04,23.86,15.7,12.6,12.4,26.9,18.6,15.4,28.3,26.7,25.1,45.3,29.4,32.1,"High","High","High","High","High","High"
"Ag00001aa148957_T001",TRUE,"Master Protein","Ag00001aa148957_T001",41,28,297,843,NA,1.362,0.000342176948851303,0.00533567861083665,97.1,132.2,13.74,2.61,6138.5,3996.9,5210.4,8650.7,9067.6,6634,11059.9,8456.4,10532.2,14573.5,14344.1,13845.5,"High","High","High","High","High","High"
"Ag00001aa073519_T001",TRUE,"Master Protein","Ag00001aa073519_T001",63,30,139,579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High","High","High","High","High","High"
"Ag00001aa079692_T001",TRUE,"Master Protein","Ag00001aa079692_T001",62,30,139,584,NA,1.682,0.00585741751703894,0.0398792927552529,86.6,145.6,2.32,5.66,3192.6,2825.3,2838,5237,6115.1,4698.5,5752.2,5977.6,5736.7,8822.6,9673.5,9806,"High","High","High","High","High","High"
"Ag00001aa026660_T001",TRUE,"Master Protein","Ag00001aa026660_T001",42,28,282,843,NA,1.166,0.991550448607657,1,24.2,28.2,12.03,20.75,13.8,14.3,15.5,21.1,15.2,16.9,24.9,30.3,31.3,35.5,24,35.3,"High","High","High","High","High","High"
"Ag00001aa115120_T001",TRUE,"Master Protein","Ag00001aa115120_T001",70,33,192,621,NA,0.726,0.00301490799388637,0.02481133735476,141.2,102.5,11.95,1.17,5806.6,6176,5441,4694.1,5044.8,3878.1,10461.9,13066.7,10998.3,7908,7980.4,8093.8,"High","High","High","High","High","High"
"Ag00001aa094012_T001",TRUE,"Master Protein","Ag00001aa094012_T001",35,27,307,986,NA,1.153,0.00520593566963912,0.0364752153502404,96.5,111.3,4.4,3.63,6376.4,5733.1,5502.3,7621.3,8725.2,6349.5,11488.5,12129.7,11122.2,12839.4,13802.4,13251.7,"High","High","High","High","High","High"
"Ag00001aa016826_T001",TRUE,"Master Protein","Ag00001aa016826_T001",41,27,279,843,NA,1.628,0.997107904863685,1,108,175.8,6.34,56.31,33.5,27.1,26.3,55.4,74,14.3,60.4,57.3,53.2,93.3,117.1,29.8,"High","High","High","High","High","High"
"Ag00001aa041819_T003",TRUE,"Master Protein","Ag00001aa041819_T003",71,32,190,576,NA,1.057,0.990776244213473,1,116.4,123.1,5.01,1.22,5003.2,4358,4140.4,5658.5,5954.5,4624.5,9014.4,9220.3,8369.3,9532.7,9419.5,9651.6,"High","High","High","High","High","High"
"Ag00001aa091179_T001",TRUE,"Master Protein","Ag00001aa091179_T001",63,31,193,621,NA,0.965,0.9824667202125,1,112.5,108.6,10.79,1.09,668.9,652.1,553.1,689.8,735.3,567.6,1205.2,1379.7,1118,1162.1,1163.2,1184.6,"High","High","High","High","High","High"
"Ag00001aa108841_T001",TRUE,"Master Protein","Ag00001aa108841_T001",71,23,183,501,NA,0.678,0.000482406198154872,0.00692106032251306,127.3,86.3,13.82,0.92,4430.8,4856.2,4141.2,3345.7,3588.4,2750.4,7983.1,10274.4,8370.9,5636.4,5676.5,5740.2,"High","High","High","High","High","High"
"Ag00001aa117364_T001",TRUE,"Master Protein","Ag00001aa117364_T001",36,26,300,985,NA,1.06,0.877417847741776,1,64.9,68.8,9.42,11.17,74,56.3,54.8,87.1,79.8,56.8,133.3,119.1,110.8,146.7,126.2,118.5,"High","High","High","High","High","High"
"Ag00001aa120810_T003",TRUE,"Master Protein","Ag00001aa120810_T003",69,30,190,576,NA,1.133,0.958203606305415,1,121.8,138,5.48,5.81,466.3,430.4,406.4,565.1,627.7,423.8,840.1,910.6,821.5,952,993,884.5,"High","High","High","High","High","High"
"Ag00001aa089238_T001",TRUE,"Master Protein","Ag00001aa089238_T001",59,33,269,687,NA,0.892,0.318693497407152,0.701873621380104,106.7,95.1,3.75,0.36,6309.3,5631.1,5474.9,6050.8,6408.9,4850.7,11367.6,11913.9,11066.8,10193.6,10138.3,10123.6,"High","High","High","High","High","High"
"Ag00001aa115646_T001",TRUE,"Master Protein","Ag00001aa115646_T001",61,33,269,663,NA,0.772,0.293925028773977,0.659077797352448,213.4,164.8,8.06,32.23,47.1,46.1,42.2,39.1,43,17,84.9,97.5,85.3,65.9,68,35.5,"High","High","High","High","High","High"
"Ag00001aa146814_T001",TRUE,"Master Protein","Ag00001aa146814_T001",38,45,153,1681,NA,0.579,8.82707806382221e-05,0.0021357753913264,167.2,96.7,15.56,4.14,6973.5,5132.9,7328.2,4315.2,4764.5,3324.6,12564.3,10859.8,14813,7269.7,7537,6938.6,"High","High","High","High","High","High"
"Ag00001aa121176_T001",TRUE,"Master Protein","Ag00001aa121176_T001",57,31,231,690,NA,1.083,0.940598438350093,1,95,102.9,5.57,2.54,4080,3828.6,3652.1,4722.7,5053.9,3991.6,7351,8100.3,7382.3,7956.2,7994.8,8330.7,"High","High","High","High","High","High"
"Ag00001aa150634_T001",TRUE,"Master Protein","Ag00001aa150634_T001",67,22,395,355,NA,1.321,0.390660068010806,0.811412807694804,75.8,100.1,15.55,24.79,56.9,35.8,41.9,66.4,68.1,78.9,102.5,75.7,84.7,111.9,107.7,164.7,"High","High","High","High","High","High"
"Ag00001aa032124_T001",TRUE,"Master Protein","Ag00001aa032124_T001",67,22,394,355,NA,1.173,0.945872090239444,1,83.2,97.6,6.4,10.33,7366.3,5551.8,6003.5,8764.8,9001.6,5794.5,13272,11746.1,12135.3,14765.8,14239.7,12093.4,"High","High","High","High","High","High"
"Ag00001aa032691_T001",TRUE,"Master Protein","Ag00001aa032691_T001",63,29,223,559,"Met-loss+Acetyl [N-Term]",1.454,0.00643563601434971,0.0427654920652466,77.2,112.3,2.3,10.45,857.1,712.9,729.7,1080.1,1386.6,1051.6,1544.3,1508.3,1475,1819.6,2193.5,2194.7,"High","High","High","High","High","High"
"Ag00001aa028912_T001",TRUE,"Master Protein","Ag00001aa028912_T001",48,28,146,810,NA,0.855,0.854739238774648,1,123.7,105.8,19.58,6.76,3422.5,2183.8,3400.6,3130.6,3523.4,2332.5,6166.4,4620.3,6873.9,5274,5573.7,4868,"High","High","High","High","High","High"
"Ag00001aa100834_T001",TRUE,"Master Protein","Ag00001aa100834_T001",67,31,181,621,NA,0.998,0.997380964178406,1,50.7,50.6,17.19,22.56,18.2,19.3,23,24.2,28.6,13.7,32.8,40.8,46.5,40.8,45.2,28.6,"High","High","High","High","High","High"
"Ag00001aa051015_T001",TRUE,"Master Protein","Ag00001aa051015_T001",54,32,294,704,"Met-loss+Acetyl [N-Term]",0.239,0.0658322640294727,0.223243398122992,222.7,53.3,6.94,24.88,11782.4,10234.1,11922.9,1935.7,3336.2,2483.2,21228.6,21652.6,24100.7,3261,5277.6,5182.6,"High","High","High","High","High","High"
"Ag00001aa064784_T001",TRUE,"Master Protein","Ag00001aa064784_T001",45,33,184,913,NA,2.067,0.110634652042375,0.330048506393247,29.1,60,12.76,13.83,1718.5,1193.8,1225.2,3668.5,3299.8,2260.5,3096.3,2525.8,2476.6,6180.2,5220,4717.8,"High","High","High","High","High","High"
"Ag00001aa126130_T002",TRUE,"Master Protein","Ag00001aa126130_T002",37,43,149,1703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High","High","High","High","High","High"
"Ag00001aa100893_T001",TRUE,"Master Protein","Ag00001aa100893_T001",74,23,280,402,NA,1.521,0.00051168256329126,0.00721684353763934,81.2,123.6,2.9,6.83,1021.2,825.6,868,1584.2,1732.5,1151.3,1839.9,1746.7,1754.6,2668.8,2740.7,2402.8,"High","High","High","High","High","High"
"Ag00001aa069417_T001",TRUE,"Master Protein","Ag00001aa069417_T001",45,32,184,913,NA,2.163,0.337990218907748,0.732460665322763,26,56.2,19.98,29.78,34.9,23.3,21.1,85.7,67.4,37.9,62.9,49.3,42.7,144.4,106.6,79.1,"High","High","High","High","High","High"
"Ag00001aa016342_T002",TRUE,"Master Protein","Ag00001aa016342_T002",65,30,202,559,"Met-loss+Acetyl [N-Term]",1.413,0.00255656031784235,0.021815369944311,74.4,105.2,7.18,3.47,3989.2,3697.9,3359,5784.9,6601.7,4866.7,7187.4,7823.8,6789.8,9745.6,10443.3,10157,"High","High","High","High","High","High"
"Ag00001aa060000_T002",TRUE,"Master Protein","Ag00001aa060000_T002",53,31,290,704,"Met-loss+Acetyl [N-Term]",0.187,0.0452053449828552,0.170925539817788,255.5,47.8,10.73,28.56,817.7,733.5,892.4,108.2,208.5,139.2,1473.3,1551.9,1803.9,182.3,329.8,290.5,"High","High","High","High","High","High"
"Ag00001aa030108_T001",TRUE,"Master Protein","Ag00001aa030108_T001",51,30,286,704,"Met-loss+Acetyl [N-Term]",0.237,0.105925673737065,0.319472334631894,165.1,39.1,7.97,7.7,93,92.1,94.3,26.8,28.9,19,167.6,194.9,190.6,45.1,45.7,39.7,"High","High","High","High","High","High"
"Ag00001aa011817_T001",TRUE,"Master Protein","Ag00001aa011817_T001",54,37,216,699,NA,1.106,0.865387677625911,1,156.5,173.1,10.77,10.81,103.4,75.4,97.7,122.3,119,111.7,186.3,159.5,197.5,206,188.2,233.1,"High","High","High","High","High","High"
"Ag00001aa092319_T001",TRUE,"Master Protein","Ag00001aa092319_T001",35,26,261,982,NA,1.118,0.0588518012404298,0.20530386969425,107.5,120.1,7.65,2.96,509.9,456.3,410.2,634.2,637.6,492,918.7,965.4,829.2,1068.4,1008.6,1026.8,"High","High","High","High","High","High"
"Ag00001aa094017_T001",TRUE,"Master Protein","Ag00001aa094017_T001",45,25,228,622,NA,0.802,0.998491449081566,1,45.4,36.4,2.13,31.09,2196,1877.6,2034.2,3060.7,1924.5,1527.4,3956.6,3972.5,4111.9,5156.3,3044.4,3187.8,"High","High","High","High","High","High"
"Ag00001aa116053_T004",TRUE,"Master Protein","Ag00001aa116053_T004",35,35,149,1064,NA,1.924,0.00416960876134054,0.0309134663873446,66.7,128.3,22.85,8.14,3254,1827.2,2093.2,5233.9,5145.9,3589.4,5862.8,3865.9,4231.1,8817.4,8140.3,7491.3,"High","High","High","High","High","High"
"Ag00001aa021426_T002",TRUE,"Master Protein","Ag00001aa021426_T002",43,26,138,810,NA,1.154,0.260088195346874,0.607923891211723,88.6,102.2,19.95,4.46,177.3,107.9,167.5,203.5,233,178.5,319.4,228.3,338.6,342.8,368.6,372.5,"High","High","High","High","High","High"
"Ag00001aa047327_T002",TRUE,"Master Protein","Ag00001aa047327_T002",56,22,197,494,"Met-loss+Acetyl [N-Term]",1.485,0.0479203031201332,0.177889479079815,109.3,162.3,6.3,9.38,364.2,332.6,307.1,491.5,621.4,466.9,656.2,703.7,620.8,828,983,974.4,"High","High","High","High","High","High"
"Ag00001aa002578_T001",TRUE,"Master Protein","Ag00001aa002578_T001",54,37,213,699,NA,1.023,0.94855999637319,1,117.5,120.1,8.2,3.5,5946.7,4612.5,5691,6504,6696.5,5443.8,10714.3,9758.8,11503.7,10957.1,10593.2,11361.5,"Not Found","Not Found","Not Found","Not Found","Not Found","Not Found"
"Ag00001aa091217_T001",TRUE,"Master Protein","Ag00001aa091217_T001",83,27,315,401,NA,1.537,0.0256319168811616,0.115515668515668,56.8,87.3,7.74,3.4,5773.7,4835.3,4452.6,9853.1,9863.1,7534.4,10402.6,10230.2,9000.4,16599.2,15602.5,15724.7,"High","High","High","High","High","High"
"Ag00001aa002576_T001",TRUE,"Master Protein","Ag00001aa002576_T001",53,36,209,699,NA,1.977,0.061684239634757,0.212502606725548,22.4,44.4,26.26,22.66,5.2,2.9,3,7.2,6,7.2,9.4,6.1,6.1,12.1,9.5,15,"High","High","High","High","High","High"
"Ag00001aa028848_T003",TRUE,"Master Protein","Ag00001aa028848_T003",59,28,165,576,NA,1.206,0.946728939829432,1,131.1,158.2,7.52,9.23,139,128.3,115.6,179.3,203.9,128.5,250.4,271.4,233.7,302.1,322.6,268.2,"High","High","High","High","High","High"
"Ag00001aa157433_T001",TRUE,"Master Protein","Ag00001aa157433_T001",44,17,278,508,NA,0.759,0.0528673511580895,0.189981333062599,123.9,94,11.74,1.91,8468.3,8939.4,7851.5,7147.4,7626.2,5585.7,15257.5,18913.3,15870.8,12041,12063.9,11657.6,"High","High","High","High","High","High"
"Ag00001aa115155_T001",TRUE,"Master Protein","Ag00001aa115155_T001",79,24,264,402,NA,1.461,0.000274657411508339,0.00467623861479483,89.4,130.6,4.33,4.11,3736.4,3357.6,3227.6,5836.5,6367.2,4451.9,6732,7103.8,6524.2,9832.6,10072.3,9291.3,"High","High","High","High","High","High"
"Ag00001aa010398_T002",TRUE,"Master Protein","Ag00001aa010398_T002",43,24,124,810,NA,1.025,0.999989409937076,1,57.8,59.3,15.08,7.72,64.6,48.7,68.6,74.2,75.4,51.4,116.4,103,138.7,125,119.3,107.3,"High","High","High","High","High","High"
"Ag00001aa010152_T001",TRUE,"Master Protein","Ag00001aa010152_T001",41,30,160,861,NA,2.878,0.187197926379446,0.47742882229622,29.9,86,23.96,7.78,2120.3,1471.2,1157.4,5470.9,5662.5,3802.8,3820.2,3112.7,2339.5,9216.6,8957.5,7936.6,"High","High","High","High","High","High"
"Ag00001aa008719_T001",TRUE,"Master Protein","Ag00001aa008719_T001",43,29,220,816,NA,0.288,0.051344123659545,0.186475473342818,279.8,80.7,13.77,9.72,13402.3,10907.4,14670.2,3841.3,4951.2,3337.6,24147.3,23077.1,29654,6471.3,7832.3,6965.7,"High","High","High","High","High","High"
"Ag00001aa004825_T001",TRUE,"Master Protein","Ag00001aa004825_T001",61,6,815,180,NA,0.838,0.673995962685714,1,41.5,34.8,7.12,11.38,966.9,715.7,828.1,832.8,931.3,564.8,1742.1,1514.2,1673.9,1403,1473.2,1178.8,"High","High","High","High","High","High"
"Ag00001aa088892_T001",TRUE,"Master Protein","Ag00001aa088892_T001",47,19,123,548,NA,1.05,0.966831949908033,1,56.7,59.5,6.24,5.31,1494.8,1245.3,1182.6,1719.5,1646.6,1326,2693.2,2634.7,2390.5,2896.8,2604.8,2767.4,"High","High","High","High","High","High"
"Ag00001aa102214_T001",TRUE,"Master Protein","Ag00001aa102214_T001",72,22,292,351,NA,2.772,2.50104919463645e-06,0.000476920068826836,69.2,191.8,9.57,8.11,5434.3,4625.1,4081.9,14109.8,17514.3,12998.2,9791.1,9785.5,8251.1,23770.3,27706,27127.9,"High","High","High","High","High","High"
"Ag00001aa058586_T001",TRUE,"Master Protein","Ag00001aa058586_T001",69,18,263,337,NA,0.902,0.999984090854899,1,31.8,28.7,19.81,1.99,25.1,15.7,24.5,23.5,25.8,19.7,45.2,33.2,49.5,39.6,40.8,41.1,"High","High","High","High","High","High"
"Ag00001aa113751_T001",TRUE,"Master Protein","Ag00001aa113751_T001",77,25,290,401,NA,1.238,0.41230736390284,0.840410323754754,47.8,59.2,7.13,12.79,230.8,210.7,191.2,375.2,325.5,242.3,415.8,445.8,386.5,632.1,514.9,505.7,"High","High","High","High","High","High"
"Ag00001aa085718_T001",TRUE,"Master Protein","Ag00001aa085718_T001",40,23,147,807,NA,1.196,0.020430660016258,0.0981765869162441,85.3,101.9,1.47,4.34,3347.4,2843.3,2905,3972.3,4546.5,3472.1,6031.1,6015.7,5872.1,6692,7192.1,7246.4,"High","High","High","High","High","High"
"Ag00001aa012289_T002",TRUE,"Master Protein","Ag00001aa012289_T002",61,22,197,476,NA,1.259,9.77872670254731e-05,0.00224336602196263,118.5,149.2,5.06,5.81,929.2,780.9,753.3,1220.5,1314.8,1093.5,1674.2,1652.2,1522.7,2056.1,2079.9,2282.2,"High","High","High","High","High","High"
"Ag00001aa085222_T002",TRUE,"Master Protein","Ag00001aa085222_T002",46,18,124,548,NA,0.988,0.998946450336366,1,96.8,95.7,15.65,4.99,153.8,132.2,103.5,163.1,173.1,120.4,277.1,279.7,209.2,274.8,273.8,251.3,"High","High","High","High","High","High"
"Ag00001aa042534_T001",TRUE,"Master Protein","Ag00001aa042534_T001",41,31,122,951,"Met-loss [N-Term]",0.664,0.00216511419468202,0.0193649763393773,125.8,83.5,11.69,4.27,3950.2,3988.7,3361.7,2781.3,3199.4,2264.4,7117.2,8439,6795.3,4685.6,5061.2,4725.9,"High","High","High","High","High","High"
"Ag00001aa003058_T003",TRUE,"Master Protein","Ag00001aa003058_T003",66,23,252,476,NA,1.335,0.00046773056700089,0.00681546170441824,105.3,140.6,7.08,4.58,7149.7,6650.9,6059.2,10171.2,10871.6,8895.1,12881.8,14071.5,12247.9,17135.1,17197.8,18564.5,"High","High","High","High","High","High"
"Ag00001aa029947_T001",TRUE,"Master Protein","Ag00001aa029947_T001",69,18,250,337,NA,1.287,0.910029902091341,1,65.5,84.3,6.01,7.79,1761.2,1663.1,1572.9,2527.2,2586.8,1751,3173.2,3518.7,3179.4,4257.5,4092.1,3654.4,"High","High","High","High","High","High"
"Ag00001aa050348_T001",TRUE,"Master Protein","Ag00001aa050348_T001",69,21,236,358,NA,0.85,0.626308973351643,1,110.3,93.8,1.53,4.33,3050,2550.5,2751.9,2922.6,2954,2165.6,5495.3,5396.2,5562.6,4923.6,4673,4519.7,"High","High","High","High","High","High"
"Ag00001aa040663_T001",TRUE,"Master Protein","Ag00001aa040663_T001",56,24,157,582,"Met-loss [N-Term]",1.325,0.000110902569356308,0.00241431597228649,92.4,122.4,6.51,4.44,540.9,465.9,432.4,766.6,814.8,667,974.6,985.7,874,1291.5,1288.9,1392.1,"High","High","High","High","High","High"
"Ag00001aa143632_T001",TRUE,"Master Protein","Ag00001aa143632_T001",73,15,227,319,NA,1.307,0.0143171596563961,0.0751351425737248,81.9,107,11.77,4.08,4228,4008.2,3311,6035.7,5937.2,4772,7617.7,8480.3,6692.8,10168.1,9392.1,9959.4,"High","High","High","High","High","High"
