"Checked","Protein_FDR_Confidence_Combined","Master","Accession","Description","Exp_q_value_Combined","Sum_PEP_Score","Coverage","Peptides","PSMs","Unique_Peptides","AAs","MW_kDa","calc_pI","Score_Sequest_HT_Sequest_HT","Peptides_by_Search_Engine_Sequest_HT","Biological_Process","Cellular_Component","Molecular_Function","Pfam_IDs","Entrez_Gene_ID","Gene_ID","Gene_Symbol","Ensembl_Gene_ID","Protein_Pathway_Groups","Razor_Peptides","Abundance_Ratio_Winter_Summer","Abundance_Ratio_P_Value_Winter_Summer","Abundances_Grouped_Summer","Abundances_Grouped_Winter","Abundances_Grouped_CV_Summer","Abundances_Grouped_CV_Winter","Abundance_C002_summer","Abundance_C004_summer","Abundance_C022_summer","Abundance_C031_summer","Abundance_C071-1_summer","Abundance_C071-2_summer","Abundance_C071-3_summer","Abundance_C076_summer","Abundance_C002_winter","Abundance_C004_winter","Abundance_C022_winter","Abundance_C031_winter","Abundance_C071-1_winter","Abundance_C071-2_winter","Abundance_C071-3_winter","Abundance_C076_winter","Abundances_Normalized_C002_summer","Abundances_Normalized_C004_summer","Abundances_Normalized_C022_summer","Abundances_Normalized_C031_summer","Abundances_Normalized_C071-1_summer","Abundances_Normalized_C071-2_summer","Abundances_Normalized_C071-3_summer","Abundances_Normalized_C076_summer","Abundances_Normalized_C002_winter","Abundances_Normalized_C004_winter","Abundances_Normalized_C022_winter","Abundances_Normalized_C031_winter","Abundances_Normalized_C071-1_winter","Abundances_Normalized_C071-2_winter","Abundances_Normalized_C071-3_winter","Abundances_Normalized_C076_winter","Found_in_Sample_S369_C002_summer","Found_in_Sample_S370_C004_summer","Found_in_Sample_S371_C022_summer","Found_in_Sample_S372_C031_summer","Found_in_Sample_S373_C071-1_summer","Found_in_Sample_S374_C071-2_summer","Found_in_Sample_S375_C071-3_summer","Found_in_Sample_S376_C076_summer","Found_in_Sample_S377_C002_winter","Found_in_Sample_S378_C004_winter","Found_in_Sample_S379_C022_winter","Found_in_Sample_S380_C031_winter","Found_in_Sample_S381_C071-1_winter","Found_in_Sample_S382_C071-2_winter","Found_in_Sample_S383_C071-3_winter","Found_in_Sample_S384_C076_winter","Protein_Groups","Modifications"
TRUE,"High","Master Protein","TdactyloidesS_mRNA22524","TdactyloidesS_mRNA22524",0,125.072,65,10,366,4,152,17,6.6,1275.41,10,NA,NA,NA,NA,NA,"TdactyloidesS_mRNA22524",NA,NA,0,8,5.868,1.30282724608577e-08,29.1,170.9,77.06,30.39,2305,495.2,1511.6,489.8,1123.3,2222.2,7013.4,4592.5,6527.3,9733.1,7005.9,9237.6,3835.6,10162.4,6154.2,8031.4,8216.1,1091.4,4970.6,1003.1,1920.8,2222.2,7391.1,9965.3,15656.4,21207.7,21003.2,18109.7,9552.3,22808.6,10109.5,22497.9,"High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High",1,NA
TRUE,"High","Master Protein","TdactyloidesS_mRNA22712","TdactyloidesS_mRNA22712",0,50.862,46,6,30,5,138,15.4,5.69,101.79,6,NA,NA,NA,NA,NA,"TdactyloidesS_mRNA22712",NA,NA,0,0,5.879,1.30768222916799e-08,29.1,170.9,114.71,61.95,52.1,17,25.9,16.9,41.3,88.8,476.5,304.3,192,462.5,56.9,610.5,142.2,252.9,166.6,204.9,185.7,37.5,85.2,34.6,70.6,88.8,502.2,660.3,460.5,1007.8,170.6,1196.8,354.1,567.6,273.7,574,"High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High",1,NA
TRUE,"High","Master Protein","TdactyloidesS_mRNA24486","TdactyloidesS_mRNA24486",0,64.719,33,13,27,13,530,59.2,8.05,88.85,13,NA,NA,NA,NA,NA,"TdactyloidesS_mRNA24486",NA,NA,0,0,0.175,1.84281405690712e-08,170.2,29.8,41,31.99,621.9,747.4,557.2,428.8,493,749.7,917.3,687.8,156.5,130,55.5,148.5,73.8,86.7,97.9,81.3,2216.7,1647.3,1832.2,878.2,843,749.7,966.7,1492.5,375.4,283.3,166.4,291.1,183.8,194.6,160.8,227.7,"High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High",1,NA
TRUE,"High","Master Protein","TdactyloidesS_mRNA9089","TdactyloidesS_mRNA9089",0,88.468,53,18,46,5,451,49.7,5.02,165.91,18,"cell cycle OR cell proliferation;cell organization and biogenesis;other biological processes","cytoskeleton;other cell component","cytoskeletal activity;other molecular function","Pf00091, Pf03953","100381303","A0A811N3A1; B6SPX4; TdactyloidesS_mRNA9089; zma:100381303",NA,NA,0,13,0.179,2.64547286299432e-08,169.7,30.3,35.92,63.19,440.7,1888.1,621,1207.7,1484.3,2991.5,1497.7,871.1,250.4,555.3,159.7,211,96.7,121.3,205.5,139.2,1570.9,4161.4,2042,2473.4,2538.1,2991.5,1578.4,1890.2,600.6,1210,478.8,413.7,240.8,272.2,337.6,389.9,"High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High",1,NA
TRUE,"High","Master Protein","TdactyloidesS_mRNA12281","TdactyloidesS_mRNA12281",0,16.971,12,5,5,5,510,56.6,8.1,16.31,5,NA,NA,NA,NA,NA,"TdactyloidesS_mRNA12281",NA,NA,0,0,6.706,4.38743814612508e-08,26,174,60.41,45.51,13,6.5,14.2,4.3,7.2,27.2,44.8,8.4,31.2,40.8,13.4,75.6,89,79.5,109.3,53.7,46.3,14.3,46.7,8.8,12.3,27.2,47.2,18.2,74.8,88.9,40.2,148.2,221.6,178.4,179.5,150.4,"High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High",1,NA
TRUE,"High","Master Protein","TdactyloidesS_mRNA60684","TdactyloidesS_mRNA60684",0,308.611,67,37,214,7,703,75.4,6.42,813.56,37,NA,NA,NA,NA,NA,"TdactyloidesS_mRNA60684",NA,NA,0,2,0.188,6.75479974177051e-08,168.3,31.7,86.95,31.38,159.8,647.8,174,1046.5,2833.9,3859.7,716.3,399.8,103.5,104.7,110.3,83.6,100.2,67,117,45.4,569.6,1427.8,572.2,2143.2,4845.8,3859.7,754.9,867.5,248.3,228.1,330.7,163.9,249.5,150.4,192.2,127.2,"High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High",1,"Met-loss [N-Term]"
TRUE,"High","Master Protein","TdactyloidesS_mRNA1145","TdactyloidesS_mRNA1145",0,83.547,31,11,21,10,658,69.3,5.58,85.34,11,NA,NA,NA,NA,NA,"TdactyloidesS_mRNA1145",NA,NA,0,0,5.457,7.33355873805408e-08,31,169,47.55,58.81,38.2,16,44.7,21.3,39.9,63.8,106.7,54.6,472.5,71.9,144.6,157.9,211.6,245.4,352.8,110.7,136.2,35.3,147,43.6,68.2,63.8,112.4,118.5,1133.3,156.7,433.5,309.6,527,550.8,579.5,310.1,"High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High",1,NA
TRUE,"High","Master Protein","TdactyloidesS_mRNA64036","TdactyloidesS_mRNA64036",0,71.493,65,9,65,3,160,17.3,7.2,237.24,9,NA,NA,NA,NA,NA,"TdactyloidesS_mRNA64036",NA,NA,0,1,5.013,3.24839583010217e-07,33.3,166.7,54.2,43.12,74.4,46.2,49.3,25.2,73.6,131.1,302.3,135.1,187,374.6,162.4,674.2,275.5,346.8,222.6,361.1,265.2,101.8,162.1,51.6,125.9,131.1,318.6,293.2,448.5,816.2,486.9,1321.7,686.1,778.4,365.7,1011.5,"High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High",1,NA
TRUE,"High","Master Protein","TdactyloidesS_mRNA36928","TdactyloidesS_mRNA36928",0,23.392,57,5,7,5,150,16.3,5.08,32.23,5,NA,NA,NA,NA,NA,"TdactyloidesS_mRNA36928",NA,NA,0,0,5.679,3.6676210912745e-07,29.9,170.1,53.84,108.86,13.4,0,4.9,0,9.8,16.7,43.8,23.4,60.7,414,79.1,81.7,42.9,69.4,51.9,64.9,47.8,0,16.1,0,16.8,16.7,46.2,50.8,145.6,902.1,237.1,160.2,106.8,155.8,85.3,181.8,"High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High",1,NA
TRUE,"High","Master Protein","TdactyloidesS_mRNA8518","TdactyloidesS_mRNA8518",0,53.964,37,10,48,2,224,24.9,7.97,171.16,10,NA,NA,NA,NA,NA,"TdactyloidesS_mRNA8518",NA,NA,0,2,4.828,4.26428117705768e-07,34.3,165.7,97.47,65.93,55.7,27.9,87.4,41.8,107.9,142.2,173.8,370.7,329.8,113.7,165.6,443.4,363.8,557.2,626.6,877.7,198.5,61.5,287.4,85.6,184.5,142.2,183.2,804.4,791.1,247.7,496.5,869.3,906,1250.6,1029.3,2458.7,"High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High",1,NA
